model,index,y_hat,cf_y_hat,changes_json,x_json,cf_json
counternet,5532,1,1,"[{""feature"": ""age"", ""from"": 50.0, ""to"": 42.82297134399414}, {""feature"": ""hours_per_week"", ""from"": 40.0, ""to"": 104.8965835571289}, {""feature"": ""education"", ""from"": ""Some-college"", ""to"": ""Doctorate""}, {""feature"": ""occupation"", ""from"": ""Service"", ""to"": ""White-Collar""}]","{""age"": 50.0, ""hours_per_week"": 40.0, ""workclass"": ""Private"", ""education"": ""Some-college"", ""marital_status"": ""Married"", ""occupation"": ""Service"", ""race"": ""White"", ""gender"": ""Male""}","{""age"": 42.82297134399414, ""hours_per_week"": 104.8965835571289, ""workclass"": ""Private"", ""education"": ""Doctorate"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
counternet,5296,0,1,"[{""feature"": ""age"", ""from"": 51.0, ""to"": 65.78296661376953}, {""feature"": ""hours_per_week"", ""from"": 40.0, ""to"": 119.59549713134766}, {""feature"": ""education"", ""from"": ""Assoc"", ""to"": ""Doctorate""}, {""feature"": ""marital_status"", ""from"": ""Separated"", ""to"": ""Married""}, {""feature"": ""occupation"", ""from"": ""Professional"", ""to"": ""White-Collar""}, {""feature"": ""gender"", ""from"": ""Female"", ""to"": ""Male""}]","{""age"": 51.0, ""hours_per_week"": 40.0, ""workclass"": ""Private"", ""education"": ""Assoc"", ""marital_status"": ""Separated"", ""occupation"": ""Professional"", ""race"": ""White"", ""gender"": ""Female""}","{""age"": 65.78296661376953, ""hours_per_week"": 119.59549713134766, ""workclass"": ""Private"", ""education"": ""Doctorate"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
counternet,4143,1,1,"[{""feature"": ""age"", ""from"": 57.000003814697266, ""to"": 35.94784927368164}, {""feature"": ""hours_per_week"", ""from"": 50.0, ""to"": 99.5509033203125}, {""feature"": ""education"", ""from"": ""Some-college"", ""to"": ""School""}, {""feature"": ""occupation"", ""from"": ""Service"", ""to"": ""White-Collar""}]","{""age"": 57.000003814697266, ""hours_per_week"": 50.0, ""workclass"": ""Private"", ""education"": ""Some-college"", ""marital_status"": ""Married"", ""occupation"": ""Service"", ""race"": ""White"", ""gender"": ""Male""}","{""age"": 35.94784927368164, ""hours_per_week"": 99.5509033203125, ""workclass"": ""Private"", ""education"": ""School"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
counternet,3325,0,1,"[{""feature"": ""age"", ""from"": 23.0, ""to"": 65.11190032958984}, {""feature"": ""hours_per_week"", ""from"": 40.0, ""to"": 123.0196533203125}, {""feature"": ""education"", ""from"": ""Assoc"", ""to"": ""Doctorate""}, {""feature"": ""marital_status"", ""from"": ""Single"", ""to"": ""Married""}, {""feature"": ""occupation"", ""from"": ""Blue-Collar"", ""to"": ""White-Collar""}, {""feature"": ""race"", ""from"": ""Other"", ""to"": ""White""}]","{""age"": 23.0, ""hours_per_week"": 40.0, ""workclass"": ""Private"", ""education"": ""Assoc"", ""marital_status"": ""Single"", ""occupation"": ""Blue-Collar"", ""race"": ""Other"", ""gender"": ""Male""}","{""age"": 65.11190032958984, ""hours_per_week"": 123.0196533203125, ""workclass"": ""Private"", ""education"": ""Doctorate"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
counternet,1755,0,1,"[{""feature"": ""age"", ""from"": 22.0, ""to"": 65.3054428100586}, {""feature"": ""hours_per_week"", ""from"": 20.0, ""to"": 124.77921295166016}, {""feature"": ""education"", ""from"": ""Some-college"", ""to"": ""Doctorate""}, {""feature"": ""marital_status"", ""from"": ""Single"", ""to"": ""Married""}, {""feature"": ""occupation"", ""from"": ""Sales"", ""to"": ""White-Collar""}, {""feature"": ""race"", ""from"": ""Other"", ""to"": ""White""}]","{""age"": 22.0, ""hours_per_week"": 20.0, ""workclass"": ""Private"", ""education"": ""Some-college"", ""marital_status"": ""Single"", ""occupation"": ""Sales"", ""race"": ""Other"", ""gender"": ""Male""}","{""age"": 65.3054428100586, ""hours_per_week"": 124.77921295166016, ""workclass"": ""Private"", ""education"": ""Doctorate"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
counternet,266,0,1,"[{""feature"": ""age"", ""from"": 37.0, ""to"": 64.62263488769531}, {""feature"": ""hours_per_week"", ""from"": 50.0, ""to"": 122.05567932128906}, {""feature"": ""education"", ""from"": ""HS-grad"", ""to"": ""Doctorate""}, {""feature"": ""marital_status"", ""from"": ""Separated"", ""to"": ""Married""}, {""feature"": ""occupation"", ""from"": ""Blue-Collar"", ""to"": ""White-Collar""}]","{""age"": 37.0, ""hours_per_week"": 50.0, ""workclass"": ""Private"", ""education"": ""HS-grad"", ""marital_status"": ""Separated"", ""occupation"": ""Blue-Collar"", ""race"": ""White"", ""gender"": ""Male""}","{""age"": 64.62263488769531, ""hours_per_week"": 122.05567932128906, ""workclass"": ""Private"", ""education"": ""Doctorate"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
counternet,107,1,0,"[{""feature"": ""age"", ""from"": 32.0, ""to"": 15.824331283569336}, {""feature"": ""hours_per_week"", ""from"": 50.0, ""to"": 34.990543365478516}, {""feature"": ""education"", ""from"": ""Bachelors"", ""to"": ""School""}, {""feature"": ""marital_status"", ""from"": ""Married"", ""to"": ""Divorced""}, {""feature"": ""occupation"", ""from"": ""White-Collar"", ""to"": ""Service""}]","{""age"": 32.0, ""hours_per_week"": 50.0, ""workclass"": ""Private"", ""education"": ""Bachelors"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}","{""age"": 15.824331283569336, ""hours_per_week"": 34.990543365478516, ""workclass"": ""Private"", ""education"": ""School"", ""marital_status"": ""Divorced"", ""occupation"": ""Service"", ""race"": ""White"", ""gender"": ""Male""}"
counternet,2003,0,1,"[{""feature"": ""age"", ""from"": 23.0, ""to"": 65.22820281982422}, {""feature"": ""hours_per_week"", ""from"": 25.0, ""to"": 123.82046508789062}, {""feature"": ""education"", ""from"": ""Some-college"", ""to"": ""Doctorate""}, {""feature"": ""marital_status"", ""from"": ""Single"", ""to"": ""Married""}, {""feature"": ""occupation"", ""from"": ""Service"", ""to"": ""White-Collar""}]","{""age"": 23.0, ""hours_per_week"": 25.0, ""workclass"": ""Private"", ""education"": ""Some-college"", ""marital_status"": ""Single"", ""occupation"": ""Service"", ""race"": ""White"", ""gender"": ""Male""}","{""age"": 65.22820281982422, ""hours_per_week"": 123.82046508789062, ""workclass"": ""Private"", ""education"": ""Doctorate"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
counternet,1141,0,1,"[{""feature"": ""age"", ""from"": 58.000003814697266, ""to"": 64.7206039428711}, {""feature"": ""hours_per_week"", ""from"": 45.0, ""to"": 122.9478530883789}, {""feature"": ""education"", ""from"": ""School"", ""to"": ""Doctorate""}, {""feature"": ""marital_status"", ""from"": ""Widowed"", ""to"": ""Married""}, {""feature"": ""occupation"", ""from"": ""Blue-Collar"", ""to"": ""White-Collar""}, {""feature"": ""gender"", ""from"": ""Female"", ""to"": ""Male""}]","{""age"": 58.000003814697266, ""hours_per_week"": 45.0, ""workclass"": ""Private"", ""education"": ""School"", ""marital_status"": ""Widowed"", ""occupation"": ""Blue-Collar"", ""race"": ""White"", ""gender"": ""Female""}","{""age"": 64.7206039428711, ""hours_per_week"": 122.9478530883789, ""workclass"": ""Private"", ""education"": ""Doctorate"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
counternet,489,1,0,"[{""feature"": ""age"", ""from"": 53.0, ""to"": 14.453059196472168}, {""feature"": ""hours_per_week"", ""from"": 48.0, ""to"": 32.17192077636719}, {""feature"": ""workclass"", ""from"": ""Government"", ""to"": ""Private""}, {""feature"": ""education"", ""from"": ""Bachelors"", ""to"": ""School""}, {""feature"": ""marital_status"", ""from"": ""Married"", ""to"": ""Divorced""}, {""feature"": ""occupation"", ""from"": ""White-Collar"", ""to"": ""Service""}]","{""age"": 53.0, ""hours_per_week"": 48.0, ""workclass"": ""Government"", ""education"": ""Bachelors"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}","{""age"": 14.453059196472168, ""hours_per_week"": 32.17192077636719, ""workclass"": ""Private"", ""education"": ""School"", ""marital_status"": ""Divorced"", ""occupation"": ""Service"", ""race"": ""White"", ""gender"": ""Male""}"
