,feature,features,type,mutable,n_samples,changed_count,change_rate,monotonicity_violation_rate,immutability_violation_rate,rule_kind,rule_check_supported,rule_violation_rate,valid_change_rate_given_change,monotonicity_violation_rate_given_change,immutability_violation_rate_given_change,rule_violation_rate_given_change
LIMIT_BAL,LIMIT_BAL,['LIMIT_BAL'],0,True,3465,3465,1.0,1.0,0.0,,False,0.0,0.0,1.0,0.0,0.0
PAY_0,PAY_0,['PAY_0'],0,True,3465,3465,1.0,1.0,0.0,,False,0.0,0.0,1.0,0.0,0.0
PAY_2,PAY_2,['PAY_2'],0,True,3465,3465,1.0,1.0,0.0,,False,0.0,0.0,1.0,0.0,0.0
PAY_4,PAY_4,['PAY_4'],0,True,3465,3465,1.0,1.0,0.0,,False,0.0,0.0,1.0,0.0,0.0
PAY_5,PAY_5,['PAY_5'],0,True,3465,3465,1.0,1.0,0.0,,False,0.0,0.0,1.0,0.0,0.0
PAY_6,PAY_6,['PAY_6'],0,True,3465,3465,1.0,1.0,0.0,,False,0.0,0.0,1.0,0.0,0.0
PAY_AMT1,PAY_AMT1,['PAY_AMT1'],0,True,3465,3465,1.0,1.0,0.0,,False,0.0,0.0,1.0,0.0,0.0
PAY_AMT4,PAY_AMT4,['PAY_AMT4'],0,True,3465,3465,1.0,1.0,0.0,,False,0.0,0.0,1.0,0.0,0.0
PAY_AMT6,PAY_AMT6,['PAY_AMT6'],0,True,3465,3465,1.0,1.0,0.0,,False,0.0,0.0,1.0,0.0,0.0
PAY_AMT2,PAY_AMT2,['PAY_AMT2'],0,True,3465,3465,1.0,0.9985569985569985,0.0,,False,0.0,0.001443001443001443,0.9985569985569985,0.0,0.0
PAY_AMT3,PAY_AMT3,['PAY_AMT3'],0,True,3465,3465,1.0,0.9985569985569985,0.0,,False,0.0,0.001443001443001443,0.9985569985569985,0.0,0.0
PAY_AMT5,PAY_AMT5,['PAY_AMT5'],0,True,3465,3465,1.0,0.9896103896103896,0.0,,False,0.0,0.01038961038961039,0.9896103896103896,0.0,0.0
AGE,AGE,['AGE'],0,False,3465,3465,1.0,0.0,1.0,,False,0.0,0.0,0.0,1.0,0.0
SEX,SEX,['SEX'],0,False,3465,2323,0.6704184704184705,0.0,0.6704184704184705,,False,0.0,0.0,0.0,1.0,0.0
EDUCATION,EDUCATION,['EDUCATION'],0,False,3465,2063,0.5953823953823953,0.0,0.5953823953823953,,False,0.0,0.0,0.0,1.0,0.0
MARRIAGE,MARRIAGE,['MARRIAGE'],0,False,3465,1953,0.5636363636363636,0.0,0.5636363636363636,,False,0.0,0.0,0.0,1.0,0.0
BILL_AMT1,BILL_AMT1,['BILL_AMT1'],0,True,3465,3465,1.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
BILL_AMT2,BILL_AMT2,['BILL_AMT2'],0,True,3465,3465,1.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
BILL_AMT3,BILL_AMT3,['BILL_AMT3'],0,True,3465,3465,1.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
BILL_AMT4,BILL_AMT4,['BILL_AMT4'],0,True,3465,3465,1.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
BILL_AMT5,BILL_AMT5,['BILL_AMT5'],0,True,3465,3465,1.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
BILL_AMT6,BILL_AMT6,['BILL_AMT6'],0,True,3465,3465,1.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
PAY_3,PAY_3,['PAY_3'],0,True,3465,3465,1.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
