,feature,features,type,mutable,n_samples,changed_count,change_rate,monotonicity_violation_rate,immutability_violation_rate,rule_kind,rule_check_supported,rule_violation_rate,valid_change_rate_given_change,monotonicity_violation_rate_given_change,immutability_violation_rate_given_change,rule_violation_rate_given_change
Reduce_More_Severe_Delinquencies,NumTrades60Ever2DerogPubRec,"['NumTrades60Ever2DerogPubRec', 'NumTrades90Ever2DerogPubRec']",1,True,855,855,1.0,1.0,0.0,clip_derived_to_base,True,1.0,0.0,1.0,0.0,1.0
Pay_Down_Revolving_Debt,NetFractionRevolvingBurden,"['NetFractionRevolvingBurden', 'NumBank2NatlTradesWHighUtilization']",3,True,855,855,1.0,0.8514619883040936,0.0,latent_shift,True,1.0,0.0,0.8514619883040936,0.0,1.0
Stop_New_Credit_Applications,NumInqLast6M,"['NumInqLast6M', 'NumInqLast6Mexcl7days']",1,True,855,855,1.0,0.0,0.0,clip_derived_to_base,True,1.0,0.0,0.0,0.0,1.0
Build_Satisfactory_Credit_History,NumSatisfactoryTrades,"['NumSatisfactoryTrades', 'NumTotalTrades']",1,True,855,855,1.0,0.05730994152046784,0.0,derived_adds_base_delta,True,0.9929824561403509,0.007017543859649123,0.05730994152046784,0.0,0.9929824561403509
NumTradesOpeninLast12M,NumTradesOpeninLast12M,['NumTradesOpeninLast12M'],0,True,855,855,1.0,1.0,0.0,,False,0.0,0.0,1.0,0.0,0.0
NumInstallTradesWBalance,NumInstallTradesWBalance,['NumInstallTradesWBalance'],0,True,855,855,1.0,0.9309941520467836,0.0,,False,0.0,0.0011695906432748538,0.9309941520467836,0.0,0.0
PercentTradesNeverDelq,PercentTradesNeverDelq,['PercentTradesNeverDelq'],0,True,855,855,1.0,0.295906432748538,0.0,,False,0.0,0.704093567251462,0.295906432748538,0.0,0.0
MSinceMostRecentDelq,MSinceMostRecentDelq,['MSinceMostRecentDelq'],0,True,855,855,1.0,0.18830409356725147,0.0,,False,0.0,0.543859649122807,0.18830409356725147,0.0,0.0
PercentTradesWBalance,PercentTradesWBalance,['PercentTradesWBalance'],0,True,855,855,1.0,0.11461988304093568,0.0,,False,0.0,0.8783625730994152,0.11461988304093568,0.0,0.0
NetFractionInstallBurden,NetFractionInstallBurden,['NetFractionInstallBurden'],0,True,855,855,1.0,0.10175438596491228,0.0,,False,0.0,0.6198830409356725,0.10175438596491228,0.0,0.0
ExternalRiskEstimate,ExternalRiskEstimate,['ExternalRiskEstimate'],0,False,855,855,1.0,0.0,1.0,,False,0.0,0.0,0.0,1.0,0.0
MSinceOldestTradeOpen,MSinceOldestTradeOpen,['MSinceOldestTradeOpen'],0,False,855,855,1.0,0.0,1.0,,False,0.0,0.0,0.0,1.0,0.0
AverageMInFile,AverageMInFile,['AverageMInFile'],0,True,855,855,1.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
MSinceMostRecentInqexcl7days,MSinceMostRecentInqexcl7days,['MSinceMostRecentInqexcl7days'],0,True,855,855,1.0,0.0,0.0,,False,0.0,0.7263157894736842,0.0,0.0,0.0
MSinceMostRecentTradeOpen,MSinceMostRecentTradeOpen,['MSinceMostRecentTradeOpen'],0,True,855,855,1.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
NumRevolvingTradesWBalance,NumRevolvingTradesWBalance,['NumRevolvingTradesWBalance'],0,True,855,855,1.0,0.0,0.0,,False,0.0,0.9707602339181286,0.0,0.0,0.0
PercentInstallTrades,PercentInstallTrades,['PercentInstallTrades'],0,True,855,855,1.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
MaxDelqEver,MaxDelqEver,['MaxDelqEver'],0,True,855,577,0.6748538011695906,0.0,0.0,,False,0.0,0.9878682842287695,0.0,0.0,0.0
MaxDelq2PublicRecLast12M,MaxDelq2PublicRecLast12M,['MaxDelq2PublicRecLast12M'],0,True,855,531,0.6210526315789474,0.0,0.0,,False,0.0,0.1318267419962335,0.0,0.0,0.0
