model,index,y_hat,cf_y_hat,changes_json,x_json,cf_json
counternet,5532,1,1,"[{""feature"": ""age"", ""from"": 50.0, ""to"": 34.90911865234375}, {""feature"": ""hours_per_week"", ""from"": 40.0, ""to"": 94.95187377929688}, {""feature"": ""education"", ""from"": ""Some-college"", ""to"": ""Doctorate""}, {""feature"": ""occupation"", ""from"": ""Service"", ""to"": ""White-Collar""}]","{""age"": 50.0, ""hours_per_week"": 40.0, ""workclass"": ""Private"", ""education"": ""Some-college"", ""marital_status"": ""Married"", ""occupation"": ""Service"", ""race"": ""White"", ""gender"": ""Male""}","{""age"": 34.90911865234375, ""hours_per_week"": 94.95187377929688, ""workclass"": ""Private"", ""education"": ""Doctorate"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
counternet,5296,0,1,"[{""feature"": ""age"", ""from"": 51.0, ""to"": 59.03256607055664}, {""feature"": ""hours_per_week"", ""from"": 40.0, ""to"": 109.49200439453125}, {""feature"": ""education"", ""from"": ""Assoc"", ""to"": ""Doctorate""}, {""feature"": ""marital_status"", ""from"": ""Separated"", ""to"": ""Married""}, {""feature"": ""occupation"", ""from"": ""Professional"", ""to"": ""White-Collar""}, {""feature"": ""gender"", ""from"": ""Female"", ""to"": ""Male""}]","{""age"": 51.0, ""hours_per_week"": 40.0, ""workclass"": ""Private"", ""education"": ""Assoc"", ""marital_status"": ""Separated"", ""occupation"": ""Professional"", ""race"": ""White"", ""gender"": ""Female""}","{""age"": 59.03256607055664, ""hours_per_week"": 109.49200439453125, ""workclass"": ""Private"", ""education"": ""Doctorate"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
counternet,4143,1,1,"[{""feature"": ""age"", ""from"": 57.000003814697266, ""to"": 24.896881103515625}, {""feature"": ""hours_per_week"", ""from"": 50.0, ""to"": 89.15936279296875}, {""feature"": ""education"", ""from"": ""Some-college"", ""to"": ""School""}, {""feature"": ""occupation"", ""from"": ""Service"", ""to"": ""White-Collar""}]","{""age"": 57.000003814697266, ""hours_per_week"": 50.0, ""workclass"": ""Private"", ""education"": ""Some-college"", ""marital_status"": ""Married"", ""occupation"": ""Service"", ""race"": ""White"", ""gender"": ""Male""}","{""age"": 24.896881103515625, ""hours_per_week"": 89.15936279296875, ""workclass"": ""Private"", ""education"": ""School"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
counternet,3325,0,1,"[{""feature"": ""age"", ""from"": 23.0, ""to"": 57.961734771728516}, {""feature"": ""hours_per_week"", ""from"": 40.0, ""to"": 109.24829864501953}, {""feature"": ""education"", ""from"": ""Assoc"", ""to"": ""Doctorate""}, {""feature"": ""marital_status"", ""from"": ""Single"", ""to"": ""Married""}, {""feature"": ""occupation"", ""from"": ""Blue-Collar"", ""to"": ""White-Collar""}, {""feature"": ""race"", ""from"": ""Other"", ""to"": ""White""}]","{""age"": 23.0, ""hours_per_week"": 40.0, ""workclass"": ""Private"", ""education"": ""Assoc"", ""marital_status"": ""Single"", ""occupation"": ""Blue-Collar"", ""race"": ""Other"", ""gender"": ""Male""}","{""age"": 57.961734771728516, ""hours_per_week"": 109.24829864501953, ""workclass"": ""Private"", ""education"": ""Doctorate"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
counternet,1755,0,1,"[{""feature"": ""age"", ""from"": 22.0, ""to"": 59.100955963134766}, {""feature"": ""hours_per_week"", ""from"": 20.0, ""to"": 110.64532470703125}, {""feature"": ""education"", ""from"": ""Some-college"", ""to"": ""Doctorate""}, {""feature"": ""marital_status"", ""from"": ""Single"", ""to"": ""Married""}, {""feature"": ""occupation"", ""from"": ""Sales"", ""to"": ""White-Collar""}, {""feature"": ""race"", ""from"": ""Other"", ""to"": ""White""}]","{""age"": 22.0, ""hours_per_week"": 20.0, ""workclass"": ""Private"", ""education"": ""Some-college"", ""marital_status"": ""Single"", ""occupation"": ""Sales"", ""race"": ""Other"", ""gender"": ""Male""}","{""age"": 59.100955963134766, ""hours_per_week"": 110.64532470703125, ""workclass"": ""Private"", ""education"": ""Doctorate"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
counternet,266,0,1,"[{""feature"": ""age"", ""from"": 37.0, ""to"": 57.25294494628906}, {""feature"": ""hours_per_week"", ""from"": 50.0, ""to"": 108.42093658447266}, {""feature"": ""education"", ""from"": ""HS-grad"", ""to"": ""Doctorate""}, {""feature"": ""marital_status"", ""from"": ""Separated"", ""to"": ""Married""}, {""feature"": ""occupation"", ""from"": ""Blue-Collar"", ""to"": ""White-Collar""}]","{""age"": 37.0, ""hours_per_week"": 50.0, ""workclass"": ""Private"", ""education"": ""HS-grad"", ""marital_status"": ""Separated"", ""occupation"": ""Blue-Collar"", ""race"": ""White"", ""gender"": ""Male""}","{""age"": 57.25294494628906, ""hours_per_week"": 108.42093658447266, ""workclass"": ""Private"", ""education"": ""Doctorate"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
counternet,107,1,0,"[{""feature"": ""age"", ""from"": 32.0, ""to"": 4.596402168273926}, {""feature"": ""hours_per_week"", ""from"": 50.0, ""to"": 43.38216018676758}, {""feature"": ""education"", ""from"": ""Bachelors"", ""to"": ""School""}, {""feature"": ""marital_status"", ""from"": ""Married"", ""to"": ""Single""}]","{""age"": 32.0, ""hours_per_week"": 50.0, ""workclass"": ""Private"", ""education"": ""Bachelors"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}","{""age"": 4.596402168273926, ""hours_per_week"": 43.38216018676758, ""workclass"": ""Private"", ""education"": ""School"", ""marital_status"": ""Single"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
counternet,2003,0,1,"[{""feature"": ""age"", ""from"": 23.0, ""to"": 58.66269302368164}, {""feature"": ""hours_per_week"", ""from"": 25.0, ""to"": 110.01990509033203}, {""feature"": ""education"", ""from"": ""Some-college"", ""to"": ""Doctorate""}, {""feature"": ""marital_status"", ""from"": ""Single"", ""to"": ""Married""}, {""feature"": ""occupation"", ""from"": ""Service"", ""to"": ""White-Collar""}]","{""age"": 23.0, ""hours_per_week"": 25.0, ""workclass"": ""Private"", ""education"": ""Some-college"", ""marital_status"": ""Single"", ""occupation"": ""Service"", ""race"": ""White"", ""gender"": ""Male""}","{""age"": 58.66269302368164, ""hours_per_week"": 110.01990509033203, ""workclass"": ""Private"", ""education"": ""Doctorate"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
counternet,1141,0,1,"[{""feature"": ""age"", ""from"": 58.000003814697266, ""to"": 57.62865447998047}, {""feature"": ""hours_per_week"", ""from"": 45.0, ""to"": 109.1589584350586}, {""feature"": ""education"", ""from"": ""School"", ""to"": ""Doctorate""}, {""feature"": ""marital_status"", ""from"": ""Widowed"", ""to"": ""Married""}, {""feature"": ""occupation"", ""from"": ""Blue-Collar"", ""to"": ""White-Collar""}, {""feature"": ""gender"", ""from"": ""Female"", ""to"": ""Male""}]","{""age"": 58.000003814697266, ""hours_per_week"": 45.0, ""workclass"": ""Private"", ""education"": ""School"", ""marital_status"": ""Widowed"", ""occupation"": ""Blue-Collar"", ""race"": ""White"", ""gender"": ""Female""}","{""age"": 57.62865447998047, ""hours_per_week"": 109.1589584350586, ""workclass"": ""Private"", ""education"": ""Doctorate"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
counternet,489,1,0,"[{""feature"": ""age"", ""from"": 53.0, ""to"": 3.694486379623413}, {""feature"": ""hours_per_week"", ""from"": 48.0, ""to"": 40.79823684692383}, {""feature"": ""workclass"", ""from"": ""Government"", ""to"": ""Private""}, {""feature"": ""education"", ""from"": ""Bachelors"", ""to"": ""School""}, {""feature"": ""marital_status"", ""from"": ""Married"", ""to"": ""Single""}]","{""age"": 53.0, ""hours_per_week"": 48.0, ""workclass"": ""Government"", ""education"": ""Bachelors"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}","{""age"": 3.694486379623413, ""hours_per_week"": 40.79823684692383, ""workclass"": ""Private"", ""education"": ""School"", ""marital_status"": ""Single"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
