run_dir,gs,lambda_2,action_cost_base,gumbel_tau_mask,l2_l3_target_ratio,model,cat_proximity,cont_proximity,sensitivity,time,pred_accuracy,proximity,sparsity,manifold_dist,validity_recourse,actionability_rate,monotonicity_violation_rate,immutability_violation_rate,avg_num_actionability_violations,avg_num_actionability_changes,valid_change_rate,metrics_path
cfgen_flip_neg_stay_pos__gs000__lambda_2-0p0005_action_cost_base-0p005_gumbel_tau_mask-0p5,gs000,0.0005,0.005,0.5,,DiscreteRecourseNetModel,0.0,0.7131341695785522,1.0,0.0034487709032645,0.7026768922805786,0.0203752619879586,0.884915828704834,0.7065849304199219,1.0,1.0,0.0,0.0,0.0,6.700906276702881,0.8586564660072327,assets\results\cfgen_flip_neg_stay_pos__gs000__lambda_2-0p0005_action_cost_base-0p005_gumbel_tau_mask-0p5\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs001__lambda_2-0p0005_action_cost_base-0p005_gumbel_tau_mask-0p75,gs001,0.0005,0.005,0.75,,DiscreteRecourseNetModel,0.2447129935026168,0.7026978731155396,1.0,0.0030905256763698,0.7026768922805786,0.0270688819033758,0.8791540637612343,0.8411654829978943,1.0,1.0,0.0,0.0,0.0,6.775679588317871,0.8616653680801392,assets\results\cfgen_flip_neg_stay_pos__gs001__lambda_2-0p0005_action_cost_base-0p005_gumbel_tau_mask-0p75\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs002__lambda_2-0p0005_action_cost_base-0p005_gumbel_tau_mask-1,gs002,0.0005,0.005,1.0,,DiscreteRecourseNetModel,0.0845921486616134,0.7572961449623108,1.0,0.003115818217881,0.7026768922805786,0.0240539512463978,0.8663573414087296,0.7094619274139404,1.0,1.0,0.0,0.0,0.0,7.880664825439453,0.8807743787765503,assets\results\cfgen_flip_neg_stay_pos__gs002__lambda_2-0p0005_action_cost_base-0p005_gumbel_tau_mask-1\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs003__lambda_2-0p0005_action_cost_base-0p005_gumbel_tau_mask-1p5,gs003,0.0005,0.005,1.5,,DiscreteRecourseNetModel,0.00151057401672,0.8186836242675781,1.0,0.003160897450055,0.7026768922805786,0.0234341199509799,0.8529995530843735,0.7321921586990356,1.0,1.0,0.0,0.0,0.0,8.824018478393555,0.8612514138221741,assets\results\cfgen_flip_neg_stay_pos__gs003__lambda_2-0p0005_action_cost_base-0p005_gumbel_tau_mask-1p5\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs004__lambda_2-0p00075_action_cost_base-0p005_gumbel_tau_mask-0p5,gs004,0.00075,0.005,0.5,,DiscreteRecourseNetModel,0.0,0.6763167381286621,1.0,0.0027329374681695,0.7026768922805786,0.0193233353751046,0.894712969660759,0.6723124384880066,1.0,1.0,0.0,0.0,0.0,6.736404895782471,0.8400045037269592,assets\results\cfgen_flip_neg_stay_pos__gs004__lambda_2-0p00075_action_cost_base-0p005_gumbel_tau_mask-0p5\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs005__lambda_2-0p00075_action_cost_base-0p005_gumbel_tau_mask-0p75,gs005,0.00075,0.005,0.75,,DiscreteRecourseNetModel,0.0105740185827016,0.6730380058288574,1.0,0.0027318521621806,0.7026768922805786,0.0195317721260445,0.8944756090641022,0.6689043045043945,1.0,1.0,0.0,0.0,0.0,6.756797790527344,0.8404873609542847,assets\results\cfgen_flip_neg_stay_pos__gs005__lambda_2-0p00075_action_cost_base-0p005_gumbel_tau_mask-0p75\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs006__lambda_2-0p00075_action_cost_base-0p005_gumbel_tau_mask-1,gs006,0.00075,0.005,1.0,,DiscreteRecourseNetModel,0.1057401821017265,0.689005970954895,1.0,0.0027559505593936,0.7026768922805786,0.0227070329444749,0.8894907087087631,0.7142150402069092,1.0,1.0,0.0,0.0,0.0,7.6669182777404785,0.8381440043449402,assets\results\cfgen_flip_neg_stay_pos__gs006__lambda_2-0p00075_action_cost_base-0p005_gumbel_tau_mask-1\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs007__lambda_2-0p00075_action_cost_base-0p005_gumbel_tau_mask-1p5,gs007,0.00075,0.005,1.5,,DiscreteRecourseNetModel,0.0,0.7875625491142273,1.0,0.0027274595391909,0.7026768922805786,0.0225017871175493,0.8599697649478912,0.6996906399726868,1.0,1.0,0.0,0.0,0.0,8.845166206359863,0.8537272810935974,assets\results\cfgen_flip_neg_stay_pos__gs007__lambda_2-0p00075_action_cost_base-0p005_gumbel_tau_mask-1p5\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs008__lambda_2-0p001_action_cost_base-0p005_gumbel_tau_mask-0p5,gs008,0.001,0.005,0.5,,DiscreteRecourseNetModel,0.0,0.6591311693191528,1.0,0.0027376737011094,0.7026768922805786,0.0188323191234043,0.8968493640422821,0.660873293876648,1.0,1.0,0.0,0.0,0.0,6.150301933288574,0.82475745677948,assets\results\cfgen_flip_neg_stay_pos__gs008__lambda_2-0p001_action_cost_base-0p005_gumbel_tau_mask-0p5\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs009__lambda_2-0p001_action_cost_base-0p005_gumbel_tau_mask-0p75,gs009,0.001,0.005,0.75,,DiscreteRecourseNetModel,0.0075528700836002,0.654768705368042,1.0,0.0027443409877798,0.7026768922805786,0.0189234735843326,0.9012300297617912,0.6529818773269653,1.0,1.0,0.0,0.0,0.0,6.602718830108643,0.8337908983230591,assets\results\cfgen_flip_neg_stay_pos__gs009__lambda_2-0p001_action_cost_base-0p005_gumbel_tau_mask-0p75\home\seed-31\metrics.csv
