run_dir,tag,gs,lambda_2,gumbel_tau_mask,gumbel_tau_choice,model,cat_proximity,cont_proximity,sensitivity,time,pred_accuracy,proximity,sparsity,manifold_dist,validity_recourse,actionability_rate,monotonicity_violation_rate,immutability_violation_rate,group_rule_violation_rate,avg_num_actionability_violations,avg_num_actionability_changes,valid_change_rate,metrics_path
home_gs3__gs000__lambda_2-0p005_gumbel_tau_mask-0p5_gumbel_tau_choice-0p5,home_gs3,gs000,0.005,0.5,0.5,discrete_recoursenet,1.1980983018875122,0.5165787935256958,1.0,0.002902145025607,0.7065009474754333,0.048990774154663,0.9158704951405524,1.0880736112594604,1.0,1.0,0.0,0.0,0.0,0.0,4.89144229888916,0.8550137877464294,D:\Github Large\DiscreteRecourseNet\assets\results\home_gs3__gs000__lambda_2-0p005_gumbel_tau_mask-0p5_gumbel_tau_choice-0p5\home\seed-31\metrics.csv
home_gs3__gs001__lambda_2-0p005_gumbel_tau_mask-0p5_gumbel_tau_choice-0p75,home_gs3,gs001,0.005,0.5,0.75,discrete_recoursenet,2.153724193572998,0.4720914959907532,1.0,0.0032186897945221,0.7065009474754333,0.0750233054161071,0.8889291435480118,0.6006993055343628,1.0,1.0,0.0,0.0,0.0,0.0,3.9025356769561768,0.7427411079406738,D:\Github Large\DiscreteRecourseNet\assets\results\home_gs3__gs001__lambda_2-0p005_gumbel_tau_mask-0p5_gumbel_tau_choice-0p75\home\seed-31\metrics.csv
home_gs3__gs002__lambda_2-0p005_gumbel_tau_mask-0p5_gumbel_tau_choice-1,home_gs3,gs002,0.005,0.5,1.0,discrete_recoursenet,2.637084007263184,0.4560045897960663,1.0,0.0031853498281985,0.7065009474754333,0.0883739599159785,0.8802354335784912,0.5395874381065369,1.0,1.0,0.0,0.0,0.0,0.0,3.7765450477600098,0.7331095337867737,D:\Github Large\DiscreteRecourseNet\assets\results\home_gs3__gs002__lambda_2-0p005_gumbel_tau_mask-0p5_gumbel_tau_choice-1\home\seed-31\metrics.csv
home_gs3__gs003__lambda_2-0p005_gumbel_tau_mask-0p75_gumbel_tau_choice-0p5,home_gs3,gs003,0.005,0.75,0.5,discrete_recoursenet,1.9683042764663696,0.4852148294448852,1.0,0.0067986633991876,0.7065009474754333,0.0701005458831787,0.8942268490791321,0.6747909784317017,1.0,1.0,0.0,0.0,0.0,0.0,4.432646751403809,0.7847694158554077,D:\Github Large\DiscreteRecourseNet\assets\results\home_gs3__gs003__lambda_2-0p005_gumbel_tau_mask-0p75_gumbel_tau_choice-0p5\home\seed-31\metrics.csv
home_gs3__gs004__lambda_2-0p005_gumbel_tau_mask-0p75_gumbel_tau_choice-0p75,home_gs3,gs004,0.005,0.75,0.75,discrete_recoursenet,1.7337559461593628,0.4834319651126861,1.0,0.0028841763335933,0.7065009474754333,0.0633482260363442,0.9010640680789948,0.7331392168998718,1.0,1.0,0.0,0.0,0.0,0.0,4.6006340980529785,0.8031346797943115,D:\Github Large\DiscreteRecourseNet\assets\results\home_gs3__gs004__lambda_2-0p005_gumbel_tau_mask-0p75_gumbel_tau_choice-0p75\home\seed-31\metrics.csv
home_gs3__gs005__lambda_2-0p005_gumbel_tau_mask-0p75_gumbel_tau_choice-1,home_gs3,gs005,0.005,0.75,1.0,discrete_recoursenet,2.011093616485596,0.4783770143985748,1.0,0.007258232419395,0.7065009474754333,0.0711277323109763,0.8926194310188293,0.6478828191757202,1.0,1.0,0.0,0.0,0.0,0.0,4.012678146362305,0.7578988671302795,D:\Github Large\DiscreteRecourseNet\assets\results\home_gs3__gs005__lambda_2-0p005_gumbel_tau_mask-0p75_gumbel_tau_choice-1\home\seed-31\metrics.csv
home_gs3__gs006__lambda_2-0p01_gumbel_tau_mask-0p5_gumbel_tau_choice-0p5,home_gs3,gs006,0.01,0.5,0.5,discrete_recoursenet,1.074484944343567,0.4682720601558685,1.0,0.006456860278806,0.7065009474754333,0.0440787715571267,0.9249264225363732,1.0199884176254272,1.0,1.0,0.0,0.0,0.0,0.0,4.706022262573242,0.8312847018241882,D:\Github Large\DiscreteRecourseNet\assets\results\home_gs3__gs006__lambda_2-0p01_gumbel_tau_mask-0p5_gumbel_tau_choice-0p5\home\seed-31\metrics.csv
home_gs3__gs007__lambda_2-0p01_gumbel_tau_mask-0p5_gumbel_tau_choice-0p75,home_gs3,gs007,0.01,0.5,0.75,discrete_recoursenet,1.0618066787719729,0.4544910788536072,1.0,0.0067826403486569,0.7065009474754333,0.0433227930750165,0.9252886548638344,1.0150877237319946,1.0,1.0,0.0,0.0,0.0,0.0,2.9976227283477783,0.7938144207000732,D:\Github Large\DiscreteRecourseNet\assets\results\home_gs3__gs007__lambda_2-0p01_gumbel_tau_mask-0p5_gumbel_tau_choice-0p75\home\seed-31\metrics.csv
home_gs3__gs008__lambda_2-0p01_gumbel_tau_mask-0p5_gumbel_tau_choice-1,home_gs3,gs008,0.01,0.5,1.0,discrete_recoursenet,1.0586371421813965,0.4544676840305328,1.0,0.006874510138714,0.7065009474754333,0.0432315664631979,0.92537921667099,1.0150291919708252,1.0,1.0,0.0,0.0,0.0,0.0,2.9675118923187256,0.791722297668457,D:\Github Large\DiscreteRecourseNet\assets\results\home_gs3__gs008__lambda_2-0p01_gumbel_tau_mask-0p5_gumbel_tau_choice-1\home\seed-31\metrics.csv
home_gs3__gs009__lambda_2-0p01_gumbel_tau_mask-0p75_gumbel_tau_choice-0p5,home_gs3,gs009,0.01,0.75,0.5,discrete_recoursenet,1.0206022262573242,0.4484037160873413,1.0,0.006652166123144,0.7065009474754333,0.0419715983527047,0.9264659211039544,0.9864434003829956,1.0,1.0,0.0,0.0,0.0,0.0,3.060221910476685,0.7975142598152161,D:\Github Large\DiscreteRecourseNet\assets\results\home_gs3__gs009__lambda_2-0p01_gumbel_tau_mask-0p75_gumbel_tau_choice-0p5\home\seed-31\metrics.csv
home_gs3__gs010__lambda_2-0p01_gumbel_tau_mask-0p75_gumbel_tau_choice-0p75,home_gs3,gs010,0.01,0.75,0.75,discrete_recoursenet,1.0729001760482788,0.4548911452293396,1.0,0.0067681470746975,0.7065009474754333,0.0436511806079319,0.9249264225363732,1.0143284797668457,1.0,1.0,0.0,0.0,0.0,0.0,3.012678384780884,0.7948448061943054,D:\Github Large\DiscreteRecourseNet\assets\results\home_gs3__gs010__lambda_2-0p01_gumbel_tau_mask-0p75_gumbel_tau_choice-0p75\home\seed-31\metrics.csv
home_gs3__gs011__lambda_2-0p01_gumbel_tau_mask-0p75_gumbel_tau_choice-1,home_gs3,gs011,0.01,0.75,1.0,discrete_recoursenet,1.0792392492294312,0.4544003009796142,1.0,0.0065585926431542,0.7065009474754333,0.0438182728631155,0.92479058355093,1.0200761556625366,1.0,1.0,0.0,0.0,0.0,0.0,2.952456474304199,0.7903918623924255,D:\Github Large\DiscreteRecourseNet\assets\results\home_gs3__gs011__lambda_2-0p01_gumbel_tau_mask-0p75_gumbel_tau_choice-1\home\seed-31\metrics.csv
home_gs3__gs012__lambda_2-0p02_gumbel_tau_mask-0p5_gumbel_tau_choice-0p5,home_gs3,gs012,0.02,0.5,0.5,discrete_recoursenet,0.0832653045654296,0.4475922882556915,1.0,0.0072528705086352,0.7098470330238342,0.0151673597948891,0.9529562667012216,0.5531718134880066,1.0,1.0,0.0,0.0,0.0,0.0,2.0146939754486084,0.8885737657546997,D:\Github Large\DiscreteRecourseNet\assets\results\home_gs3__gs012__lambda_2-0p02_gumbel_tau_mask-0p5_gumbel_tau_choice-0p5\home\seed-31\metrics.csv
