run_dir,gs,lambda_2,action_cost_base,gumbel_tau_mask,l2_l3_target_ratio,model,cat_proximity,cont_proximity,sensitivity,time,pred_accuracy,proximity,sparsity,manifold_dist,validity_recourse,actionability_rate,monotonicity_violation_rate,immutability_violation_rate,avg_num_actionability_violations,avg_num_actionability_changes,valid_change_rate,metrics_path
cfgen_flip_neg_stay_pos__gs000__lambda_2-0p001_action_cost_base-0p005_gumbel_tau_mask-1,gs000,0.001,0.005,1.0,,DiscreteRecourseNetModel,0.0664652585983276,0.6433073878288269,1.0,0.0029889176498179,0.7026768922805786,0.0202792184693472,0.9061070308089256,0.6552393436431885,1.0,1.0,0.0,0.0,0.0,7.171450138092041,0.8242232799530029,assets\results\cfgen_flip_neg_stay_pos__gs000__lambda_2-0p001_action_cost_base-0p005_gumbel_tau_mask-1\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs001__lambda_2-0p001_action_cost_base-0p005_gumbel_tau_mask-1p5,gs001,0.001,0.005,1.5,,DiscreteRecourseNetModel,0.0,0.7727487683296204,1.0,0.0028426651744951,0.7026768922805786,0.0220785362379891,0.8626456409692764,0.6973717212677002,1.0,1.0,0.0,0.0,0.0,8.216767311096191,0.8434599041938782,assets\results\cfgen_flip_neg_stay_pos__gs001__lambda_2-0p001_action_cost_base-0p005_gumbel_tau_mask-1p5\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs006__lambda_2-0p001_action_cost_base-0p01_gumbel_tau_mask-1,gs006,0.001,0.01,1.0,,DiscreteRecourseNetModel,0.0755287036299705,0.6470316648483276,1.0,0.0027137951458845,0.7026768922805786,0.0206445819565228,0.9058696553111076,0.6639214158058167,1.0,1.0,0.0,0.0,0.0,7.112537860870361,0.8227673172950745,assets\results\cfgen_flip_neg_stay_pos__gs006__lambda_2-0p001_action_cost_base-0p01_gumbel_tau_mask-1\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs007__lambda_2-0p001_action_cost_base-0p01_gumbel_tau_mask-1p5,gs007,0.001,0.01,1.5,,DiscreteRecourseNetModel,0.0,0.7804161310195923,1.0,0.0027382568693069,0.7026768922805786,0.0222976037434169,0.861113503575325,0.6992078423500061,1.0,1.0,0.0,0.0,0.0,8.353474617004395,0.8397830128669739,assets\results\cfgen_flip_neg_stay_pos__gs007__lambda_2-0p001_action_cost_base-0p01_gumbel_tau_mask-1p5\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs012__lambda_2-0p001_action_cost_base-0p02_gumbel_tau_mask-1,gs012,0.001,0.02,1.0,,DiscreteRecourseNetModel,0.0589123852550983,0.6482241749763489,1.0,0.0027191732399322,0.7026768922805786,0.0202039017208984,0.9061286002397536,0.6566867232322693,1.0,1.0,0.0,0.0,0.0,7.165407657623291,0.8234425783157349,assets\results\cfgen_flip_neg_stay_pos__gs012__lambda_2-0p001_action_cost_base-0p02_gumbel_tau_mask-1\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs013__lambda_2-0p001_action_cost_base-0p02_gumbel_tau_mask-1p5,gs013,0.001,0.02,1.5,,DiscreteRecourseNetModel,0.0,0.779674768447876,1.0,0.0027508460996711,0.7026768922805786,0.0222764219556536,0.8611566424369812,0.6985195875167847,1.0,1.0,0.0,0.0,0.0,8.35649585723877,0.839931309223175,assets\results\cfgen_flip_neg_stay_pos__gs013__lambda_2-0p001_action_cost_base-0p02_gumbel_tau_mask-1p5\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs018__lambda_2-0p0025_action_cost_base-0p005_gumbel_tau_mask-1,gs018,0.0025,0.005,1.0,,DiscreteRecourseNetModel,0.0,0.615500271320343,1.0,0.0029969185761694,0.7026768922805786,0.017585722037724,0.9100345149636268,0.6115536689758301,1.0,1.0,0.0,0.0,0.0,5.913142204284668,0.8032954335212708,assets\results\cfgen_flip_neg_stay_pos__gs018__lambda_2-0p0025_action_cost_base-0p005_gumbel_tau_mask-1\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs019__lambda_2-0p0025_action_cost_base-0p005_gumbel_tau_mask-1p5,gs019,0.0025,0.005,1.5,,DiscreteRecourseNetModel,0.0069204154424369,0.6963071227073669,1.0,0.0031352411264671,0.7017208337783813,0.0200922153757086,0.8858131319284439,0.6408212780952454,1.0,1.0,0.0,0.0,0.0,7.076989650726318,0.8083363771438599,assets\results\cfgen_flip_neg_stay_pos__gs019__lambda_2-0p0025_action_cost_base-0p005_gumbel_tau_mask-1p5\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs024__lambda_2-0p0025_action_cost_base-0p01_gumbel_tau_mask-1,gs024,0.0025,0.01,1.0,,DiscreteRecourseNetModel,0.0,0.6151078343391418,1.0,0.0027201195064055,0.7026768922805786,0.0175745095525469,0.9098618775606157,0.6107044219970703,1.0,1.0,0.0,0.0,0.0,5.9116315841674805,0.8023508191108704,assets\results\cfgen_flip_neg_stay_pos__gs024__lambda_2-0p0025_action_cost_base-0p01_gumbel_tau_mask-1\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs025__lambda_2-0p0025_action_cost_base-0p01_gumbel_tau_mask-1p5,gs025,0.0025,0.01,1.5,,DiscreteRecourseNetModel,0.0069204154424369,0.6952577233314514,1.0,0.0027155910349712,0.7017208337783813,0.0200622325363968,0.8858625665307045,0.6398017406463623,1.0,1.0,0.0,0.0,0.0,7.076989650726318,0.8085808753967285,assets\results\cfgen_flip_neg_stay_pos__gs025__lambda_2-0p0025_action_cost_base-0p01_gumbel_tau_mask-1p5\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs030__lambda_2-0p0025_action_cost_base-0p02_gumbel_tau_mask-1,gs030,0.0025,0.02,1.0,,DiscreteRecourseNetModel,0.0,0.6156873106956482,1.0,0.0027163764942672,0.7026768922805786,0.0175910660198756,0.909948207437992,0.6108383536338806,1.0,1.0,0.0,0.0,0.0,5.947129726409912,0.8039116263389587,assets\results\cfgen_flip_neg_stay_pos__gs030__lambda_2-0p0025_action_cost_base-0p02_gumbel_tau_mask-1\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs031__lambda_2-0p0025_action_cost_base-0p02_gumbel_tau_mask-1p5,gs031,0.0025,0.02,1.5,,DiscreteRecourseNetModel,0.0034602077212184,0.6960354447364807,1.0,0.002716437922381,0.7017208337783813,0.0199855900702199,0.8858872801065445,0.6405965685844421,1.0,1.0,0.0,0.0,0.0,7.069204330444336,0.808370053768158,assets\results\cfgen_flip_neg_stay_pos__gs031__lambda_2-0p0025_action_cost_base-0p02_gumbel_tau_mask-1p5\home\seed-31\metrics.csv
