model,index,y_hat,cf_y_hat,changes_json,x_json,cf_json
discrete_recoursenet,5532,1,1,"[{""feature"": ""hours_per_week"", ""from"": 40.0, ""to"": 98.0}, {""feature"": ""education"", ""from"": ""Some-college"", ""to"": ""Doctorate""}]","{""age"": 50.0, ""hours_per_week"": 40.0, ""workclass"": ""Private"", ""education"": ""Some-college"", ""marital_status"": ""Married"", ""occupation"": ""Service"", ""race"": ""White"", ""gender"": ""Male""}","{""age"": 50.0, ""hours_per_week"": 98.0, ""workclass"": ""Private"", ""education"": ""Doctorate"", ""marital_status"": ""Married"", ""occupation"": ""Service"", ""race"": ""White"", ""gender"": ""Male""}"
discrete_recoursenet,5296,0,1,"[{""feature"": ""hours_per_week"", ""from"": 40.0, ""to"": 98.0}, {""feature"": ""education"", ""from"": ""Assoc"", ""to"": ""Doctorate""}, {""feature"": ""occupation"", ""from"": ""Professional"", ""to"": ""White-Collar""}]","{""age"": 51.0, ""hours_per_week"": 40.0, ""workclass"": ""Private"", ""education"": ""Assoc"", ""marital_status"": ""Separated"", ""occupation"": ""Professional"", ""race"": ""White"", ""gender"": ""Female""}","{""age"": 51.0, ""hours_per_week"": 98.0, ""workclass"": ""Private"", ""education"": ""Doctorate"", ""marital_status"": ""Separated"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Female""}"
discrete_recoursenet,4143,1,1,"[{""feature"": ""hours_per_week"", ""from"": 50.0, ""to"": 98.0}, {""feature"": ""education"", ""from"": ""Some-college"", ""to"": ""Doctorate""}]","{""age"": 57.000003814697266, ""hours_per_week"": 50.0, ""workclass"": ""Private"", ""education"": ""Some-college"", ""marital_status"": ""Married"", ""occupation"": ""Service"", ""race"": ""White"", ""gender"": ""Male""}","{""age"": 57.000003814697266, ""hours_per_week"": 98.0, ""workclass"": ""Private"", ""education"": ""Doctorate"", ""marital_status"": ""Married"", ""occupation"": ""Service"", ""race"": ""White"", ""gender"": ""Male""}"
discrete_recoursenet,3325,0,1,"[{""feature"": ""hours_per_week"", ""from"": 40.0, ""to"": 98.0}, {""feature"": ""education"", ""from"": ""Assoc"", ""to"": ""Doctorate""}, {""feature"": ""occupation"", ""from"": ""Blue-Collar"", ""to"": ""White-Collar""}]","{""age"": 23.0, ""hours_per_week"": 40.0, ""workclass"": ""Private"", ""education"": ""Assoc"", ""marital_status"": ""Single"", ""occupation"": ""Blue-Collar"", ""race"": ""Other"", ""gender"": ""Male""}","{""age"": 23.0, ""hours_per_week"": 98.0, ""workclass"": ""Private"", ""education"": ""Doctorate"", ""marital_status"": ""Single"", ""occupation"": ""White-Collar"", ""race"": ""Other"", ""gender"": ""Male""}"
discrete_recoursenet,1755,0,1,"[{""feature"": ""hours_per_week"", ""from"": 20.0, ""to"": 98.0}, {""feature"": ""education"", ""from"": ""Some-college"", ""to"": ""Doctorate""}, {""feature"": ""occupation"", ""from"": ""Sales"", ""to"": ""White-Collar""}]","{""age"": 22.0, ""hours_per_week"": 20.0, ""workclass"": ""Private"", ""education"": ""Some-college"", ""marital_status"": ""Single"", ""occupation"": ""Sales"", ""race"": ""Other"", ""gender"": ""Male""}","{""age"": 22.0, ""hours_per_week"": 98.0, ""workclass"": ""Private"", ""education"": ""Doctorate"", ""marital_status"": ""Single"", ""occupation"": ""White-Collar"", ""race"": ""Other"", ""gender"": ""Male""}"
discrete_recoursenet,266,0,1,"[{""feature"": ""hours_per_week"", ""from"": 50.0, ""to"": 98.0}, {""feature"": ""education"", ""from"": ""HS-grad"", ""to"": ""Doctorate""}, {""feature"": ""occupation"", ""from"": ""Blue-Collar"", ""to"": ""White-Collar""}]","{""age"": 37.0, ""hours_per_week"": 50.0, ""workclass"": ""Private"", ""education"": ""HS-grad"", ""marital_status"": ""Separated"", ""occupation"": ""Blue-Collar"", ""race"": ""White"", ""gender"": ""Male""}","{""age"": 37.0, ""hours_per_week"": 98.0, ""workclass"": ""Private"", ""education"": ""Doctorate"", ""marital_status"": ""Separated"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
discrete_recoursenet,107,1,1,"[{""feature"": ""hours_per_week"", ""from"": 50.0, ""to"": 87.0}]","{""age"": 32.0, ""hours_per_week"": 50.0, ""workclass"": ""Private"", ""education"": ""Bachelors"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}","{""age"": 32.0, ""hours_per_week"": 87.0, ""workclass"": ""Private"", ""education"": ""Bachelors"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
discrete_recoursenet,2003,0,1,"[{""feature"": ""hours_per_week"", ""from"": 25.0, ""to"": 98.0}, {""feature"": ""education"", ""from"": ""Some-college"", ""to"": ""Doctorate""}, {""feature"": ""occupation"", ""from"": ""Service"", ""to"": ""White-Collar""}]","{""age"": 23.0, ""hours_per_week"": 25.0, ""workclass"": ""Private"", ""education"": ""Some-college"", ""marital_status"": ""Single"", ""occupation"": ""Service"", ""race"": ""White"", ""gender"": ""Male""}","{""age"": 23.0, ""hours_per_week"": 98.0, ""workclass"": ""Private"", ""education"": ""Doctorate"", ""marital_status"": ""Single"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
discrete_recoursenet,1141,0,1,"[{""feature"": ""hours_per_week"", ""from"": 45.0, ""to"": 98.0}, {""feature"": ""education"", ""from"": ""School"", ""to"": ""Doctorate""}, {""feature"": ""occupation"", ""from"": ""Blue-Collar"", ""to"": ""White-Collar""}]","{""age"": 58.000003814697266, ""hours_per_week"": 45.0, ""workclass"": ""Private"", ""education"": ""School"", ""marital_status"": ""Widowed"", ""occupation"": ""Blue-Collar"", ""race"": ""White"", ""gender"": ""Female""}","{""age"": 58.000003814697266, ""hours_per_week"": 98.0, ""workclass"": ""Private"", ""education"": ""Doctorate"", ""marital_status"": ""Widowed"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Female""}"
discrete_recoursenet,489,1,1,"[{""feature"": ""hours_per_week"", ""from"": 48.0, ""to"": 87.0}]","{""age"": 53.0, ""hours_per_week"": 48.0, ""workclass"": ""Government"", ""education"": ""Bachelors"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}","{""age"": 53.0, ""hours_per_week"": 87.0, ""workclass"": ""Government"", ""education"": ""Bachelors"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
