,feature,features,type,mutable,n_samples,changed_count,change_rate,monotonicity_violation_rate,immutability_violation_rate,rule_kind,rule_check_supported,rule_violation_rate,valid_change_rate_given_change,monotonicity_violation_rate_given_change,immutability_violation_rate_given_change,rule_violation_rate_given_change
LIMIT_BAL,LIMIT_BAL,['LIMIT_BAL'],0,True,3375,1,0.0002962962962962963,0.0002962962962962963,0.0,,False,0.0,0.0,1.0,0.0,0.0
PAY_AMT3,PAY_AMT3,['PAY_AMT3'],0,True,3375,1,0.0002962962962962963,0.0002962962962962963,0.0,,False,0.0,0.0,1.0,0.0,0.0
BILL_AMT1,BILL_AMT1,['BILL_AMT1'],0,True,3375,3375,1.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
BILL_AMT4,BILL_AMT4,['BILL_AMT4'],0,True,3375,3375,1.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
BILL_AMT5,BILL_AMT5,['BILL_AMT5'],0,True,3375,3375,1.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
BILL_AMT6,BILL_AMT6,['BILL_AMT6'],0,True,3375,3375,1.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
BILL_AMT2,BILL_AMT2,['BILL_AMT2'],0,True,3375,3374,0.9997037037037036,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
BILL_AMT3,BILL_AMT3,['BILL_AMT3'],0,True,3375,3374,0.9997037037037036,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
PAY_3,PAY_3,['PAY_3'],0,True,3375,2664,0.7893333333333333,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
PAY_AMT6,PAY_AMT6,['PAY_AMT6'],0,True,3375,12,0.0035555555555555557,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
PAY_AMT4,PAY_AMT4,['PAY_AMT4'],0,True,3375,5,0.0014814814814814814,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
AGE,AGE,['AGE'],0,False,3375,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
EDUCATION,EDUCATION,['EDUCATION'],0,False,3375,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
MARRIAGE,MARRIAGE,['MARRIAGE'],0,False,3375,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
PAY_0,PAY_0,['PAY_0'],0,True,3375,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
PAY_2,PAY_2,['PAY_2'],0,True,3375,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
PAY_4,PAY_4,['PAY_4'],0,True,3375,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
PAY_5,PAY_5,['PAY_5'],0,True,3375,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
PAY_6,PAY_6,['PAY_6'],0,True,3375,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
PAY_AMT1,PAY_AMT1,['PAY_AMT1'],0,True,3375,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
PAY_AMT2,PAY_AMT2,['PAY_AMT2'],0,True,3375,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
PAY_AMT5,PAY_AMT5,['PAY_AMT5'],0,True,3375,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
SEX,SEX,['SEX'],0,False,3375,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
