model,index,y_hat,cf_y_hat,changes_json,x_json,cf_json
discrete_recoursenet,5096,0,1,"[{""feature"": ""BILL_AMT3"", ""from"": 1766.0, ""to"": 675200.0}, {""feature"": ""BILL_AMT4"", ""from"": 2720.0, ""to"": 794950.0}, {""feature"": ""BILL_AMT5"", ""from"": 3720.0, ""to"": 824620.0}, {""feature"": ""BILL_AMT6"", ""from"": 0.0, ""to"": 940325.0}]","{""LIMIT_BAL"": 230000.0, ""AGE"": 32.0, ""PAY_0"": -1.0, ""PAY_2"": -1.0, ""PAY_3"": 0.0, ""PAY_4"": 0.0, ""PAY_5"": 0.0, ""PAY_6"": 0.0, ""BILL_AMT1"": 399.0, ""BILL_AMT2"": 1560.0, ""BILL_AMT3"": 1766.0, ""BILL_AMT4"": 2720.0, ""BILL_AMT5"": 3720.0, ""BILL_AMT6"": 0.0, ""PAY_AMT1"": 1560.0, ""PAY_AMT2"": 1046.0, ""PAY_AMT3"": 1000.0, ""PAY_AMT4"": 1000.0, ""PAY_AMT5"": 0.0, ""PAY_AMT6"": 0.0, ""SEX"": 2, ""EDUCATION"": 2, ""MARRIAGE"": 1}","{""LIMIT_BAL"": 230000.0, ""AGE"": 32.0, ""PAY_0"": -1.0, ""PAY_2"": -1.0, ""PAY_3"": 0.0, ""PAY_4"": 0.0, ""PAY_5"": 0.0, ""PAY_6"": 0.0, ""BILL_AMT1"": 399.0, ""BILL_AMT2"": 1560.0, ""BILL_AMT3"": 675200.0, ""BILL_AMT4"": 794950.0, ""BILL_AMT5"": 824620.0, ""BILL_AMT6"": 940325.0, ""PAY_AMT1"": 1560.0, ""PAY_AMT2"": 1046.0, ""PAY_AMT3"": 1000.0, ""PAY_AMT4"": 1000.0, ""PAY_AMT5"": 0.0, ""PAY_AMT6"": 0.0, ""SEX"": 2, ""EDUCATION"": 2, ""MARRIAGE"": 1}"
discrete_recoursenet,4879,1,1,"[{""feature"": ""BILL_AMT3"", ""from"": 8950.0, ""to"": 515695.0}, {""feature"": ""BILL_AMT4"", ""from"": 8660.0, ""to"": 254578.0}, {""feature"": ""BILL_AMT5"", ""from"": 8840.0, ""to"": 824620.0}, {""feature"": ""BILL_AMT6"", ""from"": 9472.0, ""to"": 785495.0}]","{""LIMIT_BAL"": 10000.0, ""AGE"": 26.0, ""PAY_0"": 1.0, ""PAY_2"": 4.0, ""PAY_3"": 3.0, ""PAY_4"": 2.0, ""PAY_5"": 0.0, ""PAY_6"": 0.0, ""BILL_AMT1"": 9526.0, ""BILL_AMT2"": 9240.0, ""BILL_AMT3"": 8950.0, ""BILL_AMT4"": 8660.0, ""BILL_AMT5"": 8840.0, ""BILL_AMT6"": 9472.0, ""PAY_AMT1"": 0.0, ""PAY_AMT2"": 0.0, ""PAY_AMT3"": 0.0, ""PAY_AMT4"": 468.0, ""PAY_AMT5"": 929.0, ""PAY_AMT6"": 0.0, ""SEX"": 1, ""EDUCATION"": 2, ""MARRIAGE"": 2}","{""LIMIT_BAL"": 10000.0, ""AGE"": 26.0, ""PAY_0"": 1.0, ""PAY_2"": 4.0, ""PAY_3"": 3.0, ""PAY_4"": 2.0, ""PAY_5"": 0.0, ""PAY_6"": 0.0, ""BILL_AMT1"": 9526.0, ""BILL_AMT2"": 9240.0, ""BILL_AMT3"": 515695.0, ""BILL_AMT4"": 254578.0, ""BILL_AMT5"": 824620.0, ""BILL_AMT6"": 785495.0, ""PAY_AMT1"": 0.0, ""PAY_AMT2"": 0.0, ""PAY_AMT3"": 0.0, ""PAY_AMT4"": 468.0, ""PAY_AMT5"": 929.0, ""PAY_AMT6"": 0.0, ""SEX"": 1, ""EDUCATION"": 2, ""MARRIAGE"": 2}"
discrete_recoursenet,3816,0,1,"[{""feature"": ""BILL_AMT3"", ""from"": 42769.0, ""to"": 571175.0}, {""feature"": ""BILL_AMT4"", ""from"": 44448.0, ""to"": 794950.0}, {""feature"": ""BILL_AMT5"", ""from"": 46269.0, ""to"": 824620.0}, {""feature"": ""BILL_AMT6"", ""from"": 48036.0, ""to"": 952235.0}]","{""LIMIT_BAL"": 160000.0, ""AGE"": 52.0, ""PAY_0"": 0.0, ""PAY_2"": 0.0, ""PAY_3"": 0.0, ""PAY_4"": 0.0, ""PAY_5"": 0.0, ""PAY_6"": 0.0, ""BILL_AMT1"": 38695.0, ""BILL_AMT2"": 40757.0, ""BILL_AMT3"": 42769.0, ""BILL_AMT4"": 44448.0, ""BILL_AMT5"": 46269.0, ""BILL_AMT6"": 48036.0, ""PAY_AMT1"": 3000.0, ""PAY_AMT2"": 2700.0, ""PAY_AMT3"": 2700.0, ""PAY_AMT4"": 2700.0, ""PAY_AMT5"": 2700.0, ""PAY_AMT6"": 2700.0, ""SEX"": 2, ""EDUCATION"": 2, ""MARRIAGE"": 2}","{""LIMIT_BAL"": 160000.0, ""AGE"": 52.0, ""PAY_0"": 0.0, ""PAY_2"": 0.0, ""PAY_3"": 0.0, ""PAY_4"": 0.0, ""PAY_5"": 0.0, ""PAY_6"": 0.0, ""BILL_AMT1"": 38695.0, ""BILL_AMT2"": 40757.0, ""BILL_AMT3"": 571175.0, ""BILL_AMT4"": 794950.0, ""BILL_AMT5"": 824620.0, ""BILL_AMT6"": 952235.0, ""PAY_AMT1"": 3000.0, ""PAY_AMT2"": 2700.0, ""PAY_AMT3"": 2700.0, ""PAY_AMT4"": 2700.0, ""PAY_AMT5"": 2700.0, ""PAY_AMT6"": 2700.0, ""SEX"": 2, ""EDUCATION"": 2, ""MARRIAGE"": 2}"
discrete_recoursenet,3063,0,1,"[{""feature"": ""BILL_AMT3"", ""from"": 0.0, ""to"": 571175.0}, {""feature"": ""BILL_AMT4"", ""from"": 0.0, ""to"": 794950.0}, {""feature"": ""BILL_AMT5"", ""from"": 0.0, ""to"": 824620.0}, {""feature"": ""BILL_AMT6"", ""from"": 0.0, ""to"": 952235.0}]","{""LIMIT_BAL"": 170000.03125, ""AGE"": 31.0, ""PAY_0"": 1.0, ""PAY_2"": -2.0, ""PAY_3"": -2.0, ""PAY_4"": -2.0, ""PAY_5"": -2.0, ""PAY_6"": -2.0, ""BILL_AMT1"": 0.0, ""BILL_AMT2"": 0.0, ""BILL_AMT3"": 0.0, ""BILL_AMT4"": 0.0, ""BILL_AMT5"": 0.0, ""BILL_AMT6"": 0.0, ""PAY_AMT1"": 0.0, ""PAY_AMT2"": 0.0, ""PAY_AMT3"": 0.0, ""PAY_AMT4"": 0.0, ""PAY_AMT5"": 0.0, ""PAY_AMT6"": 0.0, ""SEX"": 2, ""EDUCATION"": 1, ""MARRIAGE"": 1}","{""LIMIT_BAL"": 170000.03125, ""AGE"": 31.0, ""PAY_0"": 1.0, ""PAY_2"": -2.0, ""PAY_3"": -2.0, ""PAY_4"": -2.0, ""PAY_5"": -2.0, ""PAY_6"": -2.0, ""BILL_AMT1"": 0.0, ""BILL_AMT2"": 0.0, ""BILL_AMT3"": 571175.0, ""BILL_AMT4"": 794950.0, ""BILL_AMT5"": 824620.0, ""BILL_AMT6"": 952235.0, ""PAY_AMT1"": 0.0, ""PAY_AMT2"": 0.0, ""PAY_AMT3"": 0.0, ""PAY_AMT4"": 0.0, ""PAY_AMT5"": 0.0, ""PAY_AMT6"": 0.0, ""SEX"": 2, ""EDUCATION"": 1, ""MARRIAGE"": 1}"
discrete_recoursenet,1617,0,1,"[{""feature"": ""BILL_AMT3"", ""from"": 3900.0, ""to"": 702939.9375}, {""feature"": ""BILL_AMT4"", ""from"": 870.0, ""to"": 794950.0}, {""feature"": ""BILL_AMT5"", ""from"": 0.0, ""to"": 824620.0}, {""feature"": ""BILL_AMT6"", ""from"": 0.0, ""to"": 940325.0}]","{""LIMIT_BAL"": 230000.0, ""AGE"": 28.0, ""PAY_0"": 0.0, ""PAY_2"": 0.0, ""PAY_3"": -1.0, ""PAY_4"": -1.0, ""PAY_5"": -1.0, ""PAY_6"": -2.0, ""BILL_AMT1"": 24867.0, ""BILL_AMT2"": 24437.0, ""BILL_AMT3"": 3900.0, ""BILL_AMT4"": 870.0, ""BILL_AMT5"": 0.0, ""BILL_AMT6"": 0.0, ""PAY_AMT1"": 4300.0, ""PAY_AMT2"": 3900.0, ""PAY_AMT3"": 870.0, ""PAY_AMT4"": 0.0, ""PAY_AMT5"": 0.0, ""PAY_AMT6"": 0.0, ""SEX"": 2, ""EDUCATION"": 2, ""MARRIAGE"": 2}","{""LIMIT_BAL"": 230000.0, ""AGE"": 28.0, ""PAY_0"": 0.0, ""PAY_2"": 0.0, ""PAY_3"": -1.0, ""PAY_4"": -1.0, ""PAY_5"": -1.0, ""PAY_6"": -2.0, ""BILL_AMT1"": 24867.0, ""BILL_AMT2"": 24437.0, ""BILL_AMT3"": 702939.9375, ""BILL_AMT4"": 794950.0, ""BILL_AMT5"": 824620.0, ""BILL_AMT6"": 940325.0, ""PAY_AMT1"": 4300.0, ""PAY_AMT2"": 3900.0, ""PAY_AMT3"": 870.0, ""PAY_AMT4"": 0.0, ""PAY_AMT5"": 0.0, ""PAY_AMT6"": 0.0, ""SEX"": 2, ""EDUCATION"": 2, ""MARRIAGE"": 2}"
discrete_recoursenet,245,0,1,"[{""feature"": ""BILL_AMT3"", ""from"": 10525.0, ""to"": 869380.0}, {""feature"": ""BILL_AMT4"", ""from"": 13295.0, ""to"": 794950.0}, {""feature"": ""BILL_AMT5"", ""from"": 11024.0, ""to"": 921900.0}, {""feature"": ""BILL_AMT6"", ""from"": 6666.0, ""to"": 940325.0}]","{""LIMIT_BAL"": 400000.0, ""AGE"": 35.0, ""PAY_0"": -1.0, ""PAY_2"": -1.0, ""PAY_3"": -1.0, ""PAY_4"": -1.0, ""PAY_5"": -1.0, ""PAY_6"": -1.0, ""BILL_AMT1"": 8125.0, ""BILL_AMT2"": 7017.0, ""BILL_AMT3"": 10525.0, ""BILL_AMT4"": 13295.0, ""BILL_AMT5"": 11024.0, ""BILL_AMT6"": 6666.0, ""PAY_AMT1"": 7018.0, ""PAY_AMT2"": 10542.0, ""PAY_AMT3"": 13378.0, ""PAY_AMT4"": 11045.0, ""PAY_AMT5"": 6666.0, ""PAY_AMT6"": 6862.0, ""SEX"": 2, ""EDUCATION"": 3, ""MARRIAGE"": 2}","{""LIMIT_BAL"": 400000.0, ""AGE"": 35.0, ""PAY_0"": -1.0, ""PAY_2"": -1.0, ""PAY_3"": -1.0, ""PAY_4"": -1.0, ""PAY_5"": -1.0, ""PAY_6"": -1.0, ""BILL_AMT1"": 8125.0, ""BILL_AMT2"": 7017.0, ""BILL_AMT3"": 869380.0, ""BILL_AMT4"": 794950.0, ""BILL_AMT5"": 921900.0, ""BILL_AMT6"": 940325.0, ""PAY_AMT1"": 7018.0, ""PAY_AMT2"": 10542.0, ""PAY_AMT3"": 13378.0, ""PAY_AMT4"": 11045.0, ""PAY_AMT5"": 6666.0, ""PAY_AMT6"": 6862.0, ""SEX"": 2, ""EDUCATION"": 3, ""MARRIAGE"": 2}"
discrete_recoursenet,99,0,1,"[{""feature"": ""BILL_AMT3"", ""from"": 0.0, ""to"": 869380.0}, {""feature"": ""BILL_AMT4"", ""from"": 0.0, ""to"": 794950.0}, {""feature"": ""BILL_AMT5"", ""from"": 0.0, ""to"": 824620.0}, {""feature"": ""BILL_AMT6"", ""from"": 0.0, ""to"": 940325.0}]","{""LIMIT_BAL"": 450000.0, ""AGE"": 36.0, ""PAY_0"": -1.0, ""PAY_2"": -1.0, ""PAY_3"": -2.0, ""PAY_4"": -2.0, ""PAY_5"": -2.0, ""PAY_6"": -2.0, ""BILL_AMT1"": 550.0, ""BILL_AMT2"": 0.0, ""BILL_AMT3"": 0.0, ""BILL_AMT4"": 0.0, ""BILL_AMT5"": 0.0, ""BILL_AMT6"": 0.0, ""PAY_AMT1"": 0.0, ""PAY_AMT2"": 0.0, ""PAY_AMT3"": 0.0, ""PAY_AMT4"": 0.0, ""PAY_AMT5"": 0.0, ""PAY_AMT6"": 0.0, ""SEX"": 1, ""EDUCATION"": 3, ""MARRIAGE"": 1}","{""LIMIT_BAL"": 450000.0, ""AGE"": 36.0, ""PAY_0"": -1.0, ""PAY_2"": -1.0, ""PAY_3"": -2.0, ""PAY_4"": -2.0, ""PAY_5"": -2.0, ""PAY_6"": -2.0, ""BILL_AMT1"": 550.0, ""BILL_AMT2"": 0.0, ""BILL_AMT3"": 869380.0, ""BILL_AMT4"": 794950.0, ""BILL_AMT5"": 824620.0, ""BILL_AMT6"": 940325.0, ""PAY_AMT1"": 0.0, ""PAY_AMT2"": 0.0, ""PAY_AMT3"": 0.0, ""PAY_AMT4"": 0.0, ""PAY_AMT5"": 0.0, ""PAY_AMT6"": 0.0, ""SEX"": 1, ""EDUCATION"": 3, ""MARRIAGE"": 1}"
discrete_recoursenet,1845,0,1,"[{""feature"": ""BILL_AMT3"", ""from"": 0.0, ""to"": 869380.0}, {""feature"": ""BILL_AMT4"", ""from"": 0.0, ""to"": 794950.0}, {""feature"": ""BILL_AMT5"", ""from"": 0.0, ""to"": 824620.0}, {""feature"": ""BILL_AMT6"", ""from"": 0.0, ""to"": 940325.0}]","{""LIMIT_BAL"": 360000.0, ""AGE"": 33.0, ""PAY_0"": 0.0, ""PAY_2"": 0.0, ""PAY_3"": 0.0, ""PAY_4"": -2.0, ""PAY_5"": -2.0, ""PAY_6"": -2.0, ""BILL_AMT1"": 11596.0, ""BILL_AMT2"": 11775.0, ""BILL_AMT3"": 0.0, ""BILL_AMT4"": 0.0, ""BILL_AMT5"": 0.0, ""BILL_AMT6"": 0.0, ""PAY_AMT1"": 1058.0, ""PAY_AMT2"": 0.0, ""PAY_AMT3"": 0.0, ""PAY_AMT4"": 0.0, ""PAY_AMT5"": 0.0, ""PAY_AMT6"": 0.0, ""SEX"": 2, ""EDUCATION"": 2, ""MARRIAGE"": 1}","{""LIMIT_BAL"": 360000.0, ""AGE"": 33.0, ""PAY_0"": 0.0, ""PAY_2"": 0.0, ""PAY_3"": 0.0, ""PAY_4"": -2.0, ""PAY_5"": -2.0, ""PAY_6"": -2.0, ""BILL_AMT1"": 11596.0, ""BILL_AMT2"": 11775.0, ""BILL_AMT3"": 869380.0, ""BILL_AMT4"": 794950.0, ""BILL_AMT5"": 824620.0, ""BILL_AMT6"": 940325.0, ""PAY_AMT1"": 1058.0, ""PAY_AMT2"": 0.0, ""PAY_AMT3"": 0.0, ""PAY_AMT4"": 0.0, ""PAY_AMT5"": 0.0, ""PAY_AMT6"": 0.0, ""SEX"": 2, ""EDUCATION"": 2, ""MARRIAGE"": 1}"
discrete_recoursenet,1051,0,1,"[{""feature"": ""BILL_AMT3"", ""from"": 62595.0, ""to"": 571175.0}, {""feature"": ""BILL_AMT4"", ""from"": 40327.0, ""to"": 794950.0}, {""feature"": ""BILL_AMT5"", ""from"": 48673.0, ""to"": 824620.0}, {""feature"": ""BILL_AMT6"", ""from"": 46158.0, ""to"": 952235.0}]","{""LIMIT_BAL"": 70000.0, ""AGE"": 24.0, ""PAY_0"": 0.0, ""PAY_2"": 0.0, ""PAY_3"": 0.0, ""PAY_4"": 0.0, ""PAY_5"": 0.0, ""PAY_6"": 0.0, ""BILL_AMT1"": 67897.0, ""BILL_AMT2"": 62826.0, ""BILL_AMT3"": 62595.0, ""BILL_AMT4"": 40327.0, ""BILL_AMT5"": 48673.0, ""BILL_AMT6"": 46158.0, ""PAY_AMT1"": 3000.0, ""PAY_AMT2"": 2916.0, ""PAY_AMT3"": 2004.0, ""PAY_AMT4"": 15006.0, ""PAY_AMT5"": 3000.0, ""PAY_AMT6"": 2200.0, ""SEX"": 2, ""EDUCATION"": 2, ""MARRIAGE"": 2}","{""LIMIT_BAL"": 70000.0, ""AGE"": 24.0, ""PAY_0"": 0.0, ""PAY_2"": 0.0, ""PAY_3"": 0.0, ""PAY_4"": 0.0, ""PAY_5"": 0.0, ""PAY_6"": 0.0, ""BILL_AMT1"": 67897.0, ""BILL_AMT2"": 62826.0, ""BILL_AMT3"": 571175.0, ""BILL_AMT4"": 794950.0, ""BILL_AMT5"": 824620.0, ""BILL_AMT6"": 952235.0, ""PAY_AMT1"": 3000.0, ""PAY_AMT2"": 2916.0, ""PAY_AMT3"": 2004.0, ""PAY_AMT4"": 15006.0, ""PAY_AMT5"": 3000.0, ""PAY_AMT6"": 2200.0, ""SEX"": 2, ""EDUCATION"": 2, ""MARRIAGE"": 2}"
discrete_recoursenet,451,0,1,"[{""feature"": ""BILL_AMT3"", ""from"": 5930.0, ""to"": 869380.0}, {""feature"": ""BILL_AMT4"", ""from"": 33736.0, ""to"": 794950.0}, {""feature"": ""BILL_AMT5"", ""from"": 23558.0, ""to"": 921900.0}, {""feature"": ""BILL_AMT6"", ""from"": 8118.0, ""to"": 940325.0}]","{""LIMIT_BAL"": 430000.0, ""AGE"": 38.0, ""PAY_0"": -2.0, ""PAY_2"": -2.0, ""PAY_3"": -2.0, ""PAY_4"": -2.0, ""PAY_5"": -2.0, ""PAY_6"": -2.0, ""BILL_AMT1"": 37693.0, ""BILL_AMT2"": 3390.0, ""BILL_AMT3"": 5930.0, ""BILL_AMT4"": 33736.0, ""BILL_AMT5"": 23558.0, ""BILL_AMT6"": 8118.0, ""PAY_AMT1"": 3507.0, ""PAY_AMT2"": 5960.0, ""PAY_AMT3"": 39507.0, ""PAY_AMT4"": 11838.0, ""PAY_AMT5"": 8158.0, ""PAY_AMT6"": 8509.0, ""SEX"": 1, ""EDUCATION"": 3, ""MARRIAGE"": 2}","{""LIMIT_BAL"": 430000.0, ""AGE"": 38.0, ""PAY_0"": -2.0, ""PAY_2"": -2.0, ""PAY_3"": -2.0, ""PAY_4"": -2.0, ""PAY_5"": -2.0, ""PAY_6"": -2.0, ""BILL_AMT1"": 37693.0, ""BILL_AMT2"": 3390.0, ""BILL_AMT3"": 869380.0, ""BILL_AMT4"": 794950.0, ""BILL_AMT5"": 921900.0, ""BILL_AMT6"": 940325.0, ""PAY_AMT1"": 3507.0, ""PAY_AMT2"": 5960.0, ""PAY_AMT3"": 39507.0, ""PAY_AMT4"": 11838.0, ""PAY_AMT5"": 8158.0, ""PAY_AMT6"": 8509.0, ""SEX"": 1, ""EDUCATION"": 3, ""MARRIAGE"": 2}"
