,feature,features,type,mutable,n_samples,changed_count,change_rate,monotonicity_violation_rate,immutability_violation_rate,rule_kind,rule_check_supported,rule_violation_rate,valid_change_rate_given_change,monotonicity_violation_rate_given_change,immutability_violation_rate_given_change,rule_violation_rate_given_change
Build_Satisfactory_Credit_History,NumSatisfactoryTrades,"['NumSatisfactoryTrades', 'NumTotalTrades']",1,True,957,610,0.6374085684430512,0.0041797283176593526,0.0,derived_adds_base_delta,True,0.0,0.9934426229508196,0.006557377049180328,0.0,0.0
MSinceMostRecentInqexcl7days,MSinceMostRecentInqexcl7days,['MSinceMostRecentInqexcl7days'],0,True,957,957,1.0,0.0,0.0,,False,0.0,0.7345872518286312,0.0,0.0,0.0
MSinceMostRecentTradeOpen,MSinceMostRecentTradeOpen,['MSinceMostRecentTradeOpen'],0,True,957,948,0.9905956112852664,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
AverageMInFile,AverageMInFile,['AverageMInFile'],0,True,957,935,0.9770114942528736,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
PercentInstallTrades,PercentInstallTrades,['PercentInstallTrades'],0,True,957,921,0.9623824451410659,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
NumRevolvingTradesWBalance,NumRevolvingTradesWBalance,['NumRevolvingTradesWBalance'],0,True,957,908,0.9487983281086729,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
NetFractionInstallBurden,NetFractionInstallBurden,['NetFractionInstallBurden'],0,True,957,798,0.8338557993730408,0.0,0.0,,False,0.0,0.6666666666666666,0.0,0.0,0.0
PercentTradesWBalance,PercentTradesWBalance,['PercentTradesWBalance'],0,True,957,786,0.8213166144200627,0.0,0.0,,False,0.0,0.9923664122137404,0.0,0.0,0.0
Stop_New_Credit_Applications,NumInqLast6M,"['NumInqLast6M', 'NumInqLast6Mexcl7days']",1,True,957,638,0.6666666666666666,0.0,0.0,clip_derived_to_base,True,0.0,1.0,0.0,0.0,0.0
MaxDelqEver,MaxDelqEver,['MaxDelqEver'],0,True,957,603,0.6300940438871473,0.0,0.0,,False,0.0,0.9867330016583747,0.0,0.0,0.0
MSinceMostRecentDelq,MSinceMostRecentDelq,['MSinceMostRecentDelq'],0,True,957,545,0.5694879832810867,0.0,0.0,,False,0.0,0.5394495412844037,0.0,0.0,0.0
MaxDelq2PublicRecLast12M,MaxDelq2PublicRecLast12M,['MaxDelq2PublicRecLast12M'],0,True,957,396,0.41379310344827586,0.0,0.0,,False,0.0,0.9318181818181818,0.0,0.0,0.0
PercentTradesNeverDelq,PercentTradesNeverDelq,['PercentTradesNeverDelq'],0,True,957,308,0.3218390804597701,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
Pay_Down_Revolving_Debt,NetFractionRevolvingBurden,"['NetFractionRevolvingBurden', 'NumBank2NatlTradesWHighUtilization']",3,True,957,217,0.22675026123301986,0.0,0.0,latent_shift,True,0.0,1.0,0.0,0.0,0.0
NumInstallTradesWBalance,NumInstallTradesWBalance,['NumInstallTradesWBalance'],0,True,957,84,0.0877742946708464,0.0,0.0,,False,0.0,0.23809523809523808,0.0,0.0,0.0
ExternalRiskEstimate,ExternalRiskEstimate,['ExternalRiskEstimate'],0,False,957,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
MSinceOldestTradeOpen,MSinceOldestTradeOpen,['MSinceOldestTradeOpen'],0,False,957,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
NumTradesOpeninLast12M,NumTradesOpeninLast12M,['NumTradesOpeninLast12M'],0,True,957,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
Reduce_More_Severe_Delinquencies,NumTrades60Ever2DerogPubRec,"['NumTrades60Ever2DerogPubRec', 'NumTrades90Ever2DerogPubRec']",1,True,957,0,0.0,0.0,0.0,clip_derived_to_base,True,0.0,1.0,0.0,0.0,0.0
