,feature,features,type,mutable,n_samples,changed_count,change_rate,monotonicity_violation_rate,immutability_violation_rate,rule_kind,rule_check_supported,rule_violation_rate,valid_change_rate_given_change,monotonicity_violation_rate_given_change,immutability_violation_rate_given_change,rule_violation_rate_given_change
AverageMInFile,AverageMInFile,['AverageMInFile'],0,True,1124,1124,1.0,0.0,0.0,,False,0.0,0.9012455516014235,0.0,0.0,0.0
MaxDelq2PublicRecLast12M,MaxDelq2PublicRecLast12M,['MaxDelq2PublicRecLast12M'],0,True,1124,586,0.5213523131672598,0.0,0.0,,False,0.0,0.5511945392491467,0.0,0.0,0.0
MaxDelqEver,MaxDelqEver,['MaxDelqEver'],0,True,1124,490,0.4359430604982206,0.0,0.0,,False,0.0,0.9959183673469387,0.0,0.0,0.0
MSinceMostRecentInqexcl7days,MSinceMostRecentInqexcl7days,['MSinceMostRecentInqexcl7days'],0,True,1124,380,0.33807829181494664,0.0,0.0,,False,0.0,0.02894736842105263,0.0,0.0,0.0
Build_Satisfactory_Credit_History,NumSatisfactoryTrades,"['NumSatisfactoryTrades', 'NumTotalTrades']",1,True,1124,0,0.0,0.0,0.0,derived_adds_base_delta,True,0.0,1.0,0.0,0.0,0.0
ExternalRiskEstimate,ExternalRiskEstimate,['ExternalRiskEstimate'],0,False,1124,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
MSinceMostRecentDelq,MSinceMostRecentDelq,['MSinceMostRecentDelq'],0,True,1124,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
MSinceMostRecentTradeOpen,MSinceMostRecentTradeOpen,['MSinceMostRecentTradeOpen'],0,True,1124,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
MSinceOldestTradeOpen,MSinceOldestTradeOpen,['MSinceOldestTradeOpen'],0,False,1124,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
NetFractionInstallBurden,NetFractionInstallBurden,['NetFractionInstallBurden'],0,True,1124,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
NumInstallTradesWBalance,NumInstallTradesWBalance,['NumInstallTradesWBalance'],0,True,1124,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
NumRevolvingTradesWBalance,NumRevolvingTradesWBalance,['NumRevolvingTradesWBalance'],0,True,1124,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
NumTradesOpeninLast12M,NumTradesOpeninLast12M,['NumTradesOpeninLast12M'],0,True,1124,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
Pay_Down_Revolving_Debt,NetFractionRevolvingBurden,"['NetFractionRevolvingBurden', 'NumBank2NatlTradesWHighUtilization']",3,True,1124,0,0.0,0.0,0.0,latent_shift,True,0.0,1.0,0.0,0.0,0.0
PercentInstallTrades,PercentInstallTrades,['PercentInstallTrades'],0,True,1124,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
PercentTradesNeverDelq,PercentTradesNeverDelq,['PercentTradesNeverDelq'],0,True,1124,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
PercentTradesWBalance,PercentTradesWBalance,['PercentTradesWBalance'],0,True,1124,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
Reduce_More_Severe_Delinquencies,NumTrades60Ever2DerogPubRec,"['NumTrades60Ever2DerogPubRec', 'NumTrades90Ever2DerogPubRec']",1,True,1124,0,0.0,0.0,0.0,clip_derived_to_base,True,0.0,1.0,0.0,0.0,0.0
Stop_New_Credit_Applications,NumInqLast6M,"['NumInqLast6M', 'NumInqLast6Mexcl7days']",1,True,1124,0,0.0,0.0,0.0,clip_derived_to_base,True,0.0,1.0,0.0,0.0,0.0
