model,index,y_hat,cf_y_hat,changes_json,x_json,cf_json
discrete_recoursenet,1771,0,1,"[{""feature"": ""AverageMInFile"", ""from"": 17.999998092651367, ""to"": 382.0}]","{""ExternalRiskEstimate"": 58.0, ""MSinceOldestTradeOpen"": 33.0, ""MSinceMostRecentTradeOpen"": 5.0, ""AverageMInFile"": 17.999998092651367, ""NumSatisfactoryTrades"": 12.0, ""NumTrades60Ever2DerogPubRec"": 0.0, ""NumTrades90Ever2DerogPubRec"": 0.0, ""PercentTradesNeverDelq"": 100.0, ""MSinceMostRecentDelq"": -7.0, ""NumTotalTrades"": 12.0, ""NumTradesOpeninLast12M"": 4.0, ""PercentInstallTrades"": 49.999996185302734, ""MSinceMostRecentInqexcl7days"": 0.0, ""NumInqLast6M"": 1.0, ""NumInqLast6Mexcl7days"": 1.0, ""NetFractionRevolvingBurden"": 95.99999237060547, ""NetFractionInstallBurden"": 68.0, ""NumRevolvingTradesWBalance"": 5.0, ""NumInstallTradesWBalance"": 5.0, ""NumBank2NatlTradesWHighUtilization"": 4.0, ""PercentTradesWBalance"": 91.0, ""MaxDelq2PublicRecLast12M"": ""Never Delinquent"", ""MaxDelqEver"": ""Never Delinquent""}","{""ExternalRiskEstimate"": 58.0, ""MSinceOldestTradeOpen"": 33.0, ""MSinceMostRecentTradeOpen"": 5.0, ""AverageMInFile"": 382.0, ""NumSatisfactoryTrades"": 12.0, ""NumTrades60Ever2DerogPubRec"": 0.0, ""NumTrades90Ever2DerogPubRec"": 0.0, ""PercentTradesNeverDelq"": 100.0, ""MSinceMostRecentDelq"": -7.0, ""NumTotalTrades"": 12.0, ""NumTradesOpeninLast12M"": 4.0, ""PercentInstallTrades"": 49.999996185302734, ""MSinceMostRecentInqexcl7days"": 0.0, ""NumInqLast6M"": 1.0, ""NumInqLast6Mexcl7days"": 1.0, ""NetFractionRevolvingBurden"": 95.99999237060547, ""NetFractionInstallBurden"": 68.0, ""NumRevolvingTradesWBalance"": 5.0, ""NumInstallTradesWBalance"": 5.0, ""NumBank2NatlTradesWHighUtilization"": 4.0, ""PercentTradesWBalance"": 91.0, ""MaxDelq2PublicRecLast12M"": ""Never Delinquent"", ""MaxDelqEver"": ""Never Delinquent""}"
discrete_recoursenet,1701,1,1,"[{""feature"": ""AverageMInFile"", ""from"": 143.0, ""to"": 268.0}]","{""ExternalRiskEstimate"": 91.0, ""MSinceOldestTradeOpen"": 132.0, ""MSinceMostRecentTradeOpen"": 36.0, ""AverageMInFile"": 143.0, ""NumSatisfactoryTrades"": 13.0, ""NumTrades60Ever2DerogPubRec"": 0.0, ""NumTrades90Ever2DerogPubRec"": 0.0, ""PercentTradesNeverDelq"": 100.0, ""MSinceMostRecentDelq"": -7.0, ""NumTotalTrades"": 2.0, ""NumTradesOpeninLast12M"": 0.0, ""PercentInstallTrades"": 8.0, ""MSinceMostRecentInqexcl7days"": 21.0, ""NumInqLast6M"": 0.0, ""NumInqLast6Mexcl7days"": 0.0, ""NetFractionRevolvingBurden"": 9.0, ""NetFractionInstallBurden"": -8.0, ""NumRevolvingTradesWBalance"": 2.0, ""NumInstallTradesWBalance"": -8.0, ""NumBank2NatlTradesWHighUtilization"": 0.0, ""PercentTradesWBalance"": 22.000001907348633, ""MaxDelq2PublicRecLast12M"": ""Never Delinquent"", ""MaxDelqEver"": ""Never Delinquent""}","{""ExternalRiskEstimate"": 91.0, ""MSinceOldestTradeOpen"": 132.0, ""MSinceMostRecentTradeOpen"": 36.0, ""AverageMInFile"": 268.0, ""NumSatisfactoryTrades"": 13.0, ""NumTrades60Ever2DerogPubRec"": 0.0, ""NumTrades90Ever2DerogPubRec"": 0.0, ""PercentTradesNeverDelq"": 100.0, ""MSinceMostRecentDelq"": -7.0, ""NumTotalTrades"": 2.0, ""NumTradesOpeninLast12M"": 0.0, ""PercentInstallTrades"": 8.0, ""MSinceMostRecentInqexcl7days"": 21.0, ""NumInqLast6M"": 0.0, ""NumInqLast6Mexcl7days"": 0.0, ""NetFractionRevolvingBurden"": 9.0, ""NetFractionInstallBurden"": -8.0, ""NumRevolvingTradesWBalance"": 2.0, ""NumInstallTradesWBalance"": -8.0, ""NumBank2NatlTradesWHighUtilization"": 0.0, ""PercentTradesWBalance"": 22.000001907348633, ""MaxDelq2PublicRecLast12M"": ""Never Delinquent"", ""MaxDelqEver"": ""Never Delinquent""}"
discrete_recoursenet,1327,0,1,"[{""feature"": ""AverageMInFile"", ""from"": 62.0, ""to"": 382.0}, {""feature"": ""MSinceMostRecentInqexcl7days"", ""from"": -7.0, ""to"": 0.0}, {""feature"": ""MaxDelq2PublicRecLast12M"", ""from"": NaN, ""to"": ""Never Delinquent""}, {""feature"": ""MaxDelqEver"", ""from"": ""60 Days Delinquent"", ""to"": ""Never Delinquent""}]","{""ExternalRiskEstimate"": 63.0, ""MSinceOldestTradeOpen"": 211.99998474121094, ""MSinceMostRecentTradeOpen"": 3.0, ""AverageMInFile"": 62.0, ""NumSatisfactoryTrades"": 16.0, ""NumTrades60Ever2DerogPubRec"": 2.0, ""NumTrades90Ever2DerogPubRec"": 0.0, ""PercentTradesNeverDelq"": 72.0, ""MSinceMostRecentDelq"": 12.0, ""NumTotalTrades"": 20.000001907348633, ""NumTradesOpeninLast12M"": 1.0, ""PercentInstallTrades"": 44.0, ""MSinceMostRecentInqexcl7days"": -7.0, ""NumInqLast6M"": 2.0, ""NumInqLast6Mexcl7days"": 2.0, ""NetFractionRevolvingBurden"": 66.0, ""NetFractionInstallBurden"": 89.0, ""NumRevolvingTradesWBalance"": 3.0, ""NumInstallTradesWBalance"": 5.0, ""NumBank2NatlTradesWHighUtilization"": 2.0, ""PercentTradesWBalance"": 73.0, ""MaxDelq2PublicRecLast12M"": NaN, ""MaxDelqEver"": ""60 Days Delinquent""}","{""ExternalRiskEstimate"": 63.0, ""MSinceOldestTradeOpen"": 211.99998474121094, ""MSinceMostRecentTradeOpen"": 3.0, ""AverageMInFile"": 382.0, ""NumSatisfactoryTrades"": 16.0, ""NumTrades60Ever2DerogPubRec"": 2.0, ""NumTrades90Ever2DerogPubRec"": 0.0, ""PercentTradesNeverDelq"": 72.0, ""MSinceMostRecentDelq"": 12.0, ""NumTotalTrades"": 20.000001907348633, ""NumTradesOpeninLast12M"": 1.0, ""PercentInstallTrades"": 44.0, ""MSinceMostRecentInqexcl7days"": 0.0, ""NumInqLast6M"": 2.0, ""NumInqLast6Mexcl7days"": 2.0, ""NetFractionRevolvingBurden"": 66.0, ""NetFractionInstallBurden"": 89.0, ""NumRevolvingTradesWBalance"": 3.0, ""NumInstallTradesWBalance"": 5.0, ""NumBank2NatlTradesWHighUtilization"": 2.0, ""PercentTradesWBalance"": 73.0, ""MaxDelq2PublicRecLast12M"": ""Never Delinquent"", ""MaxDelqEver"": ""Never Delinquent""}"
discrete_recoursenet,1065,0,1,"[{""feature"": ""AverageMInFile"", ""from"": 49.999996185302734, ""to"": 382.0}, {""feature"": ""MaxDelq2PublicRecLast12M"", ""from"": NaN, ""to"": ""Never Delinquent""}, {""feature"": ""MaxDelqEver"", ""from"": ""30 Days Delinquent"", ""to"": ""Never Delinquent""}]","{""ExternalRiskEstimate"": 59.0, ""MSinceOldestTradeOpen"": 90.0, ""MSinceMostRecentTradeOpen"": 11.0, ""AverageMInFile"": 49.999996185302734, ""NumSatisfactoryTrades"": 27.0, ""NumTrades60Ever2DerogPubRec"": 0.0, ""NumTrades90Ever2DerogPubRec"": 0.0, ""PercentTradesNeverDelq"": 95.99999237060547, ""MSinceMostRecentDelq"": 76.0, ""NumTotalTrades"": 27.0, ""NumTradesOpeninLast12M"": 1.0, ""PercentInstallTrades"": 15.0, ""MSinceMostRecentInqexcl7days"": 1.0, ""NumInqLast6M"": 2.0, ""NumInqLast6Mexcl7days"": 2.0, ""NetFractionRevolvingBurden"": 68.0, ""NetFractionInstallBurden"": 83.0, ""NumRevolvingTradesWBalance"": 11.0, ""NumInstallTradesWBalance"": 1.0, ""NumBank2NatlTradesWHighUtilization"": 2.0, ""PercentTradesWBalance"": 86.0, ""MaxDelq2PublicRecLast12M"": NaN, ""MaxDelqEver"": ""30 Days Delinquent""}","{""ExternalRiskEstimate"": 59.0, ""MSinceOldestTradeOpen"": 90.0, ""MSinceMostRecentTradeOpen"": 11.0, ""AverageMInFile"": 382.0, ""NumSatisfactoryTrades"": 27.0, ""NumTrades60Ever2DerogPubRec"": 0.0, ""NumTrades90Ever2DerogPubRec"": 0.0, ""PercentTradesNeverDelq"": 95.99999237060547, ""MSinceMostRecentDelq"": 76.0, ""NumTotalTrades"": 27.0, ""NumTradesOpeninLast12M"": 1.0, ""PercentInstallTrades"": 15.0, ""MSinceMostRecentInqexcl7days"": 1.0, ""NumInqLast6M"": 2.0, ""NumInqLast6Mexcl7days"": 2.0, ""NetFractionRevolvingBurden"": 68.0, ""NetFractionInstallBurden"": 83.0, ""NumRevolvingTradesWBalance"": 11.0, ""NumInstallTradesWBalance"": 1.0, ""NumBank2NatlTradesWHighUtilization"": 2.0, ""PercentTradesWBalance"": 86.0, ""MaxDelq2PublicRecLast12M"": ""Never Delinquent"", ""MaxDelqEver"": ""Never Delinquent""}"
discrete_recoursenet,562,1,1,"[{""feature"": ""AverageMInFile"", ""from"": 114.0, ""to"": 268.0}]","{""ExternalRiskEstimate"": 86.0, ""MSinceOldestTradeOpen"": 292.0, ""MSinceMostRecentTradeOpen"": 5.0, ""AverageMInFile"": 114.0, ""NumSatisfactoryTrades"": 20.000001907348633, ""NumTrades60Ever2DerogPubRec"": 0.0, ""NumTrades90Ever2DerogPubRec"": 0.0, ""PercentTradesNeverDelq"": 100.0, ""MSinceMostRecentDelq"": -7.0, ""NumTotalTrades"": 22.000001907348633, ""NumTradesOpeninLast12M"": 1.0, ""PercentInstallTrades"": 24.0, ""MSinceMostRecentInqexcl7days"": 6.0, ""NumInqLast6M"": 0.0, ""NumInqLast6Mexcl7days"": 0.0, ""NetFractionRevolvingBurden"": 6.0, ""NetFractionInstallBurden"": 12.0, ""NumRevolvingTradesWBalance"": 3.0, ""NumInstallTradesWBalance"": 1.0, ""NumBank2NatlTradesWHighUtilization"": 1.0, ""PercentTradesWBalance"": 57.0, ""MaxDelq2PublicRecLast12M"": ""Never Delinquent"", ""MaxDelqEver"": ""Never Delinquent""}","{""ExternalRiskEstimate"": 86.0, ""MSinceOldestTradeOpen"": 292.0, ""MSinceMostRecentTradeOpen"": 5.0, ""AverageMInFile"": 268.0, ""NumSatisfactoryTrades"": 20.000001907348633, ""NumTrades60Ever2DerogPubRec"": 0.0, ""NumTrades90Ever2DerogPubRec"": 0.0, ""PercentTradesNeverDelq"": 100.0, ""MSinceMostRecentDelq"": -7.0, ""NumTotalTrades"": 22.000001907348633, ""NumTradesOpeninLast12M"": 1.0, ""PercentInstallTrades"": 24.0, ""MSinceMostRecentInqexcl7days"": 6.0, ""NumInqLast6M"": 0.0, ""NumInqLast6Mexcl7days"": 0.0, ""NetFractionRevolvingBurden"": 6.0, ""NetFractionInstallBurden"": 12.0, ""NumRevolvingTradesWBalance"": 3.0, ""NumInstallTradesWBalance"": 1.0, ""NumBank2NatlTradesWHighUtilization"": 1.0, ""PercentTradesWBalance"": 57.0, ""MaxDelq2PublicRecLast12M"": ""Never Delinquent"", ""MaxDelqEver"": ""Never Delinquent""}"
discrete_recoursenet,85,1,1,"[{""feature"": ""AverageMInFile"", ""from"": 98.99999237060547, ""to"": 268.0}]","{""ExternalRiskEstimate"": 87.0, ""MSinceOldestTradeOpen"": 318.0, ""MSinceMostRecentTradeOpen"": 31.0, ""AverageMInFile"": 98.99999237060547, ""NumSatisfactoryTrades"": 12.0, ""NumTrades60Ever2DerogPubRec"": 0.0, ""NumTrades90Ever2DerogPubRec"": 0.0, ""PercentTradesNeverDelq"": 100.0, ""MSinceMostRecentDelq"": -7.0, ""NumTotalTrades"": 12.0, ""NumTradesOpeninLast12M"": 0.0, ""PercentInstallTrades"": 25.0, ""MSinceMostRecentInqexcl7days"": 0.0, ""NumInqLast6M"": 0.0, ""NumInqLast6Mexcl7days"": 0.0, ""NetFractionRevolvingBurden"": 0.0, ""NetFractionInstallBurden"": 52.0, ""NumRevolvingTradesWBalance"": 0.0, ""NumInstallTradesWBalance"": 2.0, ""NumBank2NatlTradesWHighUtilization"": 0.0, ""PercentTradesWBalance"": 25.0, ""MaxDelq2PublicRecLast12M"": ""Never Delinquent"", ""MaxDelqEver"": ""Never Delinquent""}","{""ExternalRiskEstimate"": 87.0, ""MSinceOldestTradeOpen"": 318.0, ""MSinceMostRecentTradeOpen"": 31.0, ""AverageMInFile"": 268.0, ""NumSatisfactoryTrades"": 12.0, ""NumTrades60Ever2DerogPubRec"": 0.0, ""NumTrades90Ever2DerogPubRec"": 0.0, ""PercentTradesNeverDelq"": 100.0, ""MSinceMostRecentDelq"": -7.0, ""NumTotalTrades"": 12.0, ""NumTradesOpeninLast12M"": 0.0, ""PercentInstallTrades"": 25.0, ""MSinceMostRecentInqexcl7days"": 0.0, ""NumInqLast6M"": 0.0, ""NumInqLast6Mexcl7days"": 0.0, ""NetFractionRevolvingBurden"": 0.0, ""NetFractionInstallBurden"": 52.0, ""NumRevolvingTradesWBalance"": 0.0, ""NumInstallTradesWBalance"": 2.0, ""NumBank2NatlTradesWHighUtilization"": 0.0, ""PercentTradesWBalance"": 25.0, ""MaxDelq2PublicRecLast12M"": ""Never Delinquent"", ""MaxDelqEver"": ""Never Delinquent""}"
discrete_recoursenet,34,1,1,"[{""feature"": ""AverageMInFile"", ""from"": 91.0, ""to"": 268.0}]","{""ExternalRiskEstimate"": 85.0, ""MSinceOldestTradeOpen"": 319.0, ""MSinceMostRecentTradeOpen"": 3.0, ""AverageMInFile"": 91.0, ""NumSatisfactoryTrades"": 15.0, ""NumTrades60Ever2DerogPubRec"": 0.0, ""NumTrades90Ever2DerogPubRec"": 0.0, ""PercentTradesNeverDelq"": 100.0, ""MSinceMostRecentDelq"": -7.0, ""NumTotalTrades"": 17.0, ""NumTradesOpeninLast12M"": 2.0, ""PercentInstallTrades"": 24.0, ""MSinceMostRecentInqexcl7days"": 0.0, ""NumInqLast6M"": 5.0, ""NumInqLast6Mexcl7days"": 5.0, ""NetFractionRevolvingBurden"": 3.0, ""NetFractionInstallBurden"": -8.0, ""NumRevolvingTradesWBalance"": 2.0, ""NumInstallTradesWBalance"": 1.0, ""NumBank2NatlTradesWHighUtilization"": 0.0, ""PercentTradesWBalance"": 49.999996185302734, ""MaxDelq2PublicRecLast12M"": ""Never Delinquent"", ""MaxDelqEver"": ""Never Delinquent""}","{""ExternalRiskEstimate"": 85.0, ""MSinceOldestTradeOpen"": 319.0, ""MSinceMostRecentTradeOpen"": 3.0, ""AverageMInFile"": 268.0, ""NumSatisfactoryTrades"": 15.0, ""NumTrades60Ever2DerogPubRec"": 0.0, ""NumTrades90Ever2DerogPubRec"": 0.0, ""PercentTradesNeverDelq"": 100.0, ""MSinceMostRecentDelq"": -7.0, ""NumTotalTrades"": 17.0, ""NumTradesOpeninLast12M"": 2.0, ""PercentInstallTrades"": 24.0, ""MSinceMostRecentInqexcl7days"": 0.0, ""NumInqLast6M"": 5.0, ""NumInqLast6Mexcl7days"": 5.0, ""NetFractionRevolvingBurden"": 3.0, ""NetFractionInstallBurden"": -8.0, ""NumRevolvingTradesWBalance"": 2.0, ""NumInstallTradesWBalance"": 1.0, ""NumBank2NatlTradesWHighUtilization"": 0.0, ""PercentTradesWBalance"": 49.999996185302734, ""MaxDelq2PublicRecLast12M"": ""Never Delinquent"", ""MaxDelqEver"": ""Never Delinquent""}"
discrete_recoursenet,642,1,1,"[{""feature"": ""AverageMInFile"", ""from"": 157.0, ""to"": 268.0}]","{""ExternalRiskEstimate"": 84.0, ""MSinceOldestTradeOpen"": 403.0000305175781, ""MSinceMostRecentTradeOpen"": 14.0, ""AverageMInFile"": 157.0, ""NumSatisfactoryTrades"": 26.0, ""NumTrades60Ever2DerogPubRec"": 0.0, ""NumTrades90Ever2DerogPubRec"": 0.0, ""PercentTradesNeverDelq"": 100.0, ""MSinceMostRecentDelq"": -7.0, ""NumTotalTrades"": 27.0, ""NumTradesOpeninLast12M"": 0.0, ""PercentInstallTrades"": 7.0, ""MSinceMostRecentInqexcl7days"": 13.0, ""NumInqLast6M"": 0.0, ""NumInqLast6Mexcl7days"": 0.0, ""NetFractionRevolvingBurden"": 3.0, ""NetFractionInstallBurden"": -8.0, ""NumRevolvingTradesWBalance"": 11.0, ""NumInstallTradesWBalance"": 1.0, ""NumBank2NatlTradesWHighUtilization"": 1.0, ""PercentTradesWBalance"": 75.0, ""MaxDelq2PublicRecLast12M"": ""Never Delinquent"", ""MaxDelqEver"": ""Never Delinquent""}","{""ExternalRiskEstimate"": 84.0, ""MSinceOldestTradeOpen"": 403.0000305175781, ""MSinceMostRecentTradeOpen"": 14.0, ""AverageMInFile"": 268.0, ""NumSatisfactoryTrades"": 26.0, ""NumTrades60Ever2DerogPubRec"": 0.0, ""NumTrades90Ever2DerogPubRec"": 0.0, ""PercentTradesNeverDelq"": 100.0, ""MSinceMostRecentDelq"": -7.0, ""NumTotalTrades"": 27.0, ""NumTradesOpeninLast12M"": 0.0, ""PercentInstallTrades"": 7.0, ""MSinceMostRecentInqexcl7days"": 13.0, ""NumInqLast6M"": 0.0, ""NumInqLast6Mexcl7days"": 0.0, ""NetFractionRevolvingBurden"": 3.0, ""NetFractionInstallBurden"": -8.0, ""NumRevolvingTradesWBalance"": 11.0, ""NumInstallTradesWBalance"": 1.0, ""NumBank2NatlTradesWHighUtilization"": 1.0, ""PercentTradesWBalance"": 75.0, ""MaxDelq2PublicRecLast12M"": ""Never Delinquent"", ""MaxDelqEver"": ""Never Delinquent""}"
discrete_recoursenet,366,1,1,"[{""feature"": ""AverageMInFile"", ""from"": 46.0, ""to"": 268.0}]","{""ExternalRiskEstimate"": 72.0, ""MSinceOldestTradeOpen"": 365.0, ""MSinceMostRecentTradeOpen"": 1.0, ""AverageMInFile"": 46.0, ""NumSatisfactoryTrades"": 21.0, ""NumTrades60Ever2DerogPubRec"": 0.0, ""NumTrades90Ever2DerogPubRec"": 0.0, ""PercentTradesNeverDelq"": 95.0, ""MSinceMostRecentDelq"": 53.000003814697266, ""NumTotalTrades"": 40.0, ""NumTradesOpeninLast12M"": 3.0, ""PercentInstallTrades"": 9.0, ""MSinceMostRecentInqexcl7days"": 11.0, ""NumInqLast6M"": 0.0, ""NumInqLast6Mexcl7days"": 0.0, ""NetFractionRevolvingBurden"": 20.000001907348633, ""NetFractionInstallBurden"": -8.0, ""NumRevolvingTradesWBalance"": 7.0, ""NumInstallTradesWBalance"": 1.0, ""NumBank2NatlTradesWHighUtilization"": 1.0, ""PercentTradesWBalance"": 56.0, ""MaxDelq2PublicRecLast12M"": NaN, ""MaxDelqEver"": ""30 Days Delinquent""}","{""ExternalRiskEstimate"": 72.0, ""MSinceOldestTradeOpen"": 365.0, ""MSinceMostRecentTradeOpen"": 1.0, ""AverageMInFile"": 268.0, ""NumSatisfactoryTrades"": 21.0, ""NumTrades60Ever2DerogPubRec"": 0.0, ""NumTrades90Ever2DerogPubRec"": 0.0, ""PercentTradesNeverDelq"": 95.0, ""MSinceMostRecentDelq"": 53.000003814697266, ""NumTotalTrades"": 40.0, ""NumTradesOpeninLast12M"": 3.0, ""PercentInstallTrades"": 9.0, ""MSinceMostRecentInqexcl7days"": 11.0, ""NumInqLast6M"": 0.0, ""NumInqLast6Mexcl7days"": 0.0, ""NetFractionRevolvingBurden"": 20.000001907348633, ""NetFractionInstallBurden"": -8.0, ""NumRevolvingTradesWBalance"": 7.0, ""NumInstallTradesWBalance"": 1.0, ""NumBank2NatlTradesWHighUtilization"": 1.0, ""PercentTradesWBalance"": 56.0, ""MaxDelq2PublicRecLast12M"": NaN, ""MaxDelqEver"": ""30 Days Delinquent""}"
discrete_recoursenet,157,1,1,"[{""feature"": ""AverageMInFile"", ""from"": 83.0, ""to"": 268.0}]","{""ExternalRiskEstimate"": 73.0, ""MSinceOldestTradeOpen"": 188.0, ""MSinceMostRecentTradeOpen"": 4.0, ""AverageMInFile"": 83.0, ""NumSatisfactoryTrades"": 31.0, ""NumTrades60Ever2DerogPubRec"": 0.0, ""NumTrades90Ever2DerogPubRec"": 0.0, ""PercentTradesNeverDelq"": 100.0, ""MSinceMostRecentDelq"": -7.0, ""NumTotalTrades"": 32.0, ""NumTradesOpeninLast12M"": 2.0, ""PercentInstallTrades"": 42.0, ""MSinceMostRecentInqexcl7days"": 7.0, ""NumInqLast6M"": 1.0, ""NumInqLast6Mexcl7days"": 0.0, ""NetFractionRevolvingBurden"": 37.0, ""NetFractionInstallBurden"": 85.0, ""NumRevolvingTradesWBalance"": 2.0, ""NumInstallTradesWBalance"": 4.0, ""NumBank2NatlTradesWHighUtilization"": 2.0, ""PercentTradesWBalance"": 75.0, ""MaxDelq2PublicRecLast12M"": ""Never Delinquent"", ""MaxDelqEver"": ""Never Delinquent""}","{""ExternalRiskEstimate"": 73.0, ""MSinceOldestTradeOpen"": 188.0, ""MSinceMostRecentTradeOpen"": 4.0, ""AverageMInFile"": 268.0, ""NumSatisfactoryTrades"": 31.0, ""NumTrades60Ever2DerogPubRec"": 0.0, ""NumTrades90Ever2DerogPubRec"": 0.0, ""PercentTradesNeverDelq"": 100.0, ""MSinceMostRecentDelq"": -7.0, ""NumTotalTrades"": 32.0, ""NumTradesOpeninLast12M"": 2.0, ""PercentInstallTrades"": 42.0, ""MSinceMostRecentInqexcl7days"": 7.0, ""NumInqLast6M"": 1.0, ""NumInqLast6Mexcl7days"": 0.0, ""NetFractionRevolvingBurden"": 37.0, ""NetFractionInstallBurden"": 85.0, ""NumRevolvingTradesWBalance"": 2.0, ""NumInstallTradesWBalance"": 4.0, ""NumBank2NatlTradesWHighUtilization"": 2.0, ""PercentTradesWBalance"": 75.0, ""MaxDelq2PublicRecLast12M"": ""Never Delinquent"", ""MaxDelqEver"": ""Never Delinquent""}"
