,feature,features,type,mutable,n_samples,changed_count,change_rate,monotonicity_violation_rate,immutability_violation_rate,rule_kind,rule_check_supported,rule_violation_rate,valid_change_rate_given_change,monotonicity_violation_rate_given_change,immutability_violation_rate_given_change,rule_violation_rate_given_change
Increase_Online_Participation,forumng_click,"['forumng_click', 'homepage_click', 'subpage_click', 'resource_click', 'url_click', 'oucontent_click']",3,True,3126,3126,1.0,1.0,0.0,latent_shift,True,1.0,0.0,1.0,0.0,1.0
dualpane_click,dualpane_click,['dualpane_click'],0,True,3126,3126,1.0,1.0,0.0,,False,0.0,0.0,1.0,0.0,0.0
glossary_click,glossary_click,['glossary_click'],0,True,3126,3126,1.0,1.0,0.0,,False,0.0,0.0,1.0,0.0,0.0
htmlactivity_click,htmlactivity_click,['htmlactivity_click'],0,True,3126,3126,1.0,1.0,0.0,,False,0.0,0.0,1.0,0.0,0.0
oucollaborate_click,oucollaborate_click,['oucollaborate_click'],0,True,3126,3126,1.0,1.0,0.0,,False,0.0,0.0,1.0,0.0,0.0
page_click,page_click,['page_click'],0,True,3126,3126,1.0,1.0,0.0,,False,0.0,0.0,1.0,0.0,0.0
questionnaire_click,questionnaire_click,['questionnaire_click'],0,True,3126,3126,1.0,1.0,0.0,,False,0.0,0.0,1.0,0.0,0.0
externalquiz_click,externalquiz_click,['externalquiz_click'],0,True,3126,3126,1.0,0.846129238643634,0.0,,False,0.0,0.15387076135636596,0.846129238643634,0.0,0.0
ouelluminate_click,ouelluminate_click,['ouelluminate_click'],0,True,3126,3126,1.0,0.19353806781829813,0.0,,False,0.0,0.8064619321817018,0.19353806781829813,0.0,0.0
highest_education,highest_education,['highest_education'],0,True,3126,1929,0.6170825335892515,0.12507997440818938,0.0,,False,0.0,0.7973043027475376,0.20269569725246242,0.0,0.0
studied_credits,studied_credits,['studied_credits'],0,True,3126,3126,1.0,0.025911708253358926,0.0,,False,0.0,0.974088291746641,0.025911708253358926,0.0,0.0
ouwiki_click,ouwiki_click,['ouwiki_click'],0,True,3126,3126,1.0,0.009596928982725527,0.0,,False,0.0,0.9904030710172744,0.009596928982725527,0.0,0.0
num_of_prev_attempts,num_of_prev_attempts,['num_of_prev_attempts'],0,False,3126,3126,1.0,0.0,1.0,,False,0.0,0.0,0.0,1.0,0.0
weight,weight,['weight'],0,False,3126,3126,1.0,0.0,1.0,,False,0.0,0.0,0.0,1.0,0.0
region,region,['region'],0,False,3126,2803,0.8966730646193218,0.0,0.8966730646193218,,False,0.0,0.0,0.0,1.0,0.0
imd_band,imd_band,['imd_band'],0,False,3126,2748,0.8790786948176583,0.0,0.8790786948176583,,False,0.0,0.0,0.0,1.0,0.0
code_module,code_module,['code_module'],0,False,3126,2300,0.7357645553422905,0.0,0.7357645553422905,,False,0.0,0.0,0.0,1.0,0.0
gender,gender,['gender'],0,False,3126,1364,0.436340371081254,0.0,0.436340371081254,,False,0.0,0.0,0.0,1.0,0.0
age_band,age_band,['age_band'],0,False,3126,832,0.26615483045425464,0.0,0.26615483045425464,,False,0.0,0.0,0.0,1.0,0.0
disability,disability,['disability'],0,False,3126,368,0.11772232885476648,0.0,0.11772232885476648,,False,0.0,0.0,0.0,1.0,0.0
dataplus_click,dataplus_click,['dataplus_click'],0,True,3126,3126,1.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
folder_click,folder_click,['folder_click'],0,True,3126,3126,1.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
quiz_click,quiz_click,['quiz_click'],0,True,3126,3126,1.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
repeatactivity_click,repeatactivity_click,['repeatactivity_click'],0,True,3126,3126,1.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
sharedsubpage_click,sharedsubpage_click,['sharedsubpage_click'],0,True,3126,3126,1.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
weighted_score,weighted_score,['weighted_score'],0,True,3126,3126,1.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
