model,index,y_hat,cf_y_hat,changes_json,x_json,cf_json
discrete_recoursenet,5537,0,1,"[{""feature"": ""quiz_click"", ""from"": 76.0, ""to"": 5625.0}]","{""num_of_prev_attempts"": 1.0, ""weight"": 11.0, ""weighted_score"": 53.09090805053711, ""studied_credits"": 30.0, ""forumng_click"": 33.0, ""homepage_click"": 35.0, ""oucontent_click"": 0.0, ""resource_click"": 18.0, ""subpage_click"": 10.0, ""url_click"": 2.0, ""dataplus_click"": 0.0, ""glossary_click"": 0.0, ""oucollaborate_click"": 0.0, ""quiz_click"": 76.0, ""ouelluminate_click"": 0.0, ""sharedsubpage_click"": 0.0, ""questionnaire_click"": 0.0, ""page_click"": 0.0, ""externalquiz_click"": 0.0, ""ouwiki_click"": 0.0, ""dualpane_click"": 0.0, ""folder_click"": 0.0, ""repeatactivity_click"": 0.0, ""htmlactivity_click"": 0.0, ""code_module"": ""CCC"", ""gender"": ""M"", ""region"": ""Wales"", ""highest_education"": ""Lower Than A Level"", ""imd_band"": ""20-30%"", ""age_band"": ""0-35"", ""disability"": ""N""}","{""num_of_prev_attempts"": 1.0, ""weight"": 11.0, ""weighted_score"": 53.09090805053711, ""studied_credits"": 30.0, ""forumng_click"": 33.0, ""homepage_click"": 35.0, ""oucontent_click"": 0.0, ""resource_click"": 18.0, ""subpage_click"": 10.0, ""url_click"": 2.0, ""dataplus_click"": 0.0, ""glossary_click"": 0.0, ""oucollaborate_click"": 0.0, ""quiz_click"": 5625.0, ""ouelluminate_click"": 0.0, ""sharedsubpage_click"": 0.0, ""questionnaire_click"": 0.0, ""page_click"": 0.0, ""externalquiz_click"": 0.0, ""ouwiki_click"": 0.0, ""dualpane_click"": 0.0, ""folder_click"": 0.0, ""repeatactivity_click"": 0.0, ""htmlactivity_click"": 0.0, ""code_module"": ""CCC"", ""gender"": ""M"", ""region"": ""Wales"", ""highest_education"": ""Lower Than A Level"", ""imd_band"": ""20-30%"", ""age_band"": ""0-35"", ""disability"": ""N""}"
discrete_recoursenet,5301,1,1,"[{""feature"": ""quiz_click"", ""from"": 60.0, ""to"": 5040.0}]","{""num_of_prev_attempts"": 1.0, ""weight"": 63.0, ""weighted_score"": 77.04762268066406, ""studied_credits"": 60.0, ""forumng_click"": 8.0, ""homepage_click"": 45.0, ""oucontent_click"": 0.0, ""resource_click"": 1.0, ""subpage_click"": 5.0, ""url_click"": 0.0, ""dataplus_click"": 0.0, ""glossary_click"": 0.0, ""oucollaborate_click"": 0.0, ""quiz_click"": 60.0, ""ouelluminate_click"": 0.0, ""sharedsubpage_click"": 0.0, ""questionnaire_click"": 0.0, ""page_click"": 0.0, ""externalquiz_click"": 0.0, ""ouwiki_click"": 0.0, ""dualpane_click"": 0.0, ""folder_click"": 0.0, ""repeatactivity_click"": 0.0, ""htmlactivity_click"": 0.0, ""code_module"": ""BBB"", ""gender"": ""F"", ""region"": ""South East Region"", ""highest_education"": ""A Level or Equivalent"", ""imd_band"": ""80-90%"", ""age_band"": ""0-35"", ""disability"": ""N""}","{""num_of_prev_attempts"": 1.0, ""weight"": 63.0, ""weighted_score"": 77.04762268066406, ""studied_credits"": 60.0, ""forumng_click"": 8.0, ""homepage_click"": 45.0, ""oucontent_click"": 0.0, ""resource_click"": 1.0, ""subpage_click"": 5.0, ""url_click"": 0.0, ""dataplus_click"": 0.0, ""glossary_click"": 0.0, ""oucollaborate_click"": 0.0, ""quiz_click"": 5040.0, ""ouelluminate_click"": 0.0, ""sharedsubpage_click"": 0.0, ""questionnaire_click"": 0.0, ""page_click"": 0.0, ""externalquiz_click"": 0.0, ""ouwiki_click"": 0.0, ""dualpane_click"": 0.0, ""folder_click"": 0.0, ""repeatactivity_click"": 0.0, ""htmlactivity_click"": 0.0, ""code_module"": ""BBB"", ""gender"": ""F"", ""region"": ""South East Region"", ""highest_education"": ""A Level or Equivalent"", ""imd_band"": ""80-90%"", ""age_band"": ""0-35"", ""disability"": ""N""}"
discrete_recoursenet,4147,0,1,"[{""feature"": ""quiz_click"", ""from"": 10.0, ""to"": 5625.0}]","{""num_of_prev_attempts"": 0.0, ""weight"": 100.0, ""weighted_score"": 56.900001525878906, ""studied_credits"": 60.0, ""forumng_click"": 0.0, ""homepage_click"": 12.0, ""oucontent_click"": 20.0, ""resource_click"": 10.0, ""subpage_click"": 12.0, ""url_click"": 0.0, ""dataplus_click"": 0.0, ""glossary_click"": 0.0, ""oucollaborate_click"": 0.0, ""quiz_click"": 10.0, ""ouelluminate_click"": 0.0, ""sharedsubpage_click"": 0.0, ""questionnaire_click"": 0.0, ""page_click"": 0.0, ""externalquiz_click"": 0.0, ""ouwiki_click"": 0.0, ""dualpane_click"": 0.0, ""folder_click"": 0.0, ""repeatactivity_click"": 0.0, ""htmlactivity_click"": 0.0, ""code_module"": ""BBB"", ""gender"": ""F"", ""region"": ""West Midlands Region"", ""highest_education"": ""Lower Than A Level"", ""imd_band"": ""10-20"", ""age_band"": ""0-35"", ""disability"": ""Y""}","{""num_of_prev_attempts"": 0.0, ""weight"": 100.0, ""weighted_score"": 56.900001525878906, ""studied_credits"": 60.0, ""forumng_click"": 0.0, ""homepage_click"": 12.0, ""oucontent_click"": 20.0, ""resource_click"": 10.0, ""subpage_click"": 12.0, ""url_click"": 0.0, ""dataplus_click"": 0.0, ""glossary_click"": 0.0, ""oucollaborate_click"": 0.0, ""quiz_click"": 5625.0, ""ouelluminate_click"": 0.0, ""sharedsubpage_click"": 0.0, ""questionnaire_click"": 0.0, ""page_click"": 0.0, ""externalquiz_click"": 0.0, ""ouwiki_click"": 0.0, ""dualpane_click"": 0.0, ""folder_click"": 0.0, ""repeatactivity_click"": 0.0, ""htmlactivity_click"": 0.0, ""code_module"": ""BBB"", ""gender"": ""F"", ""region"": ""West Midlands Region"", ""highest_education"": ""Lower Than A Level"", ""imd_band"": ""10-20"", ""age_band"": ""0-35"", ""disability"": ""Y""}"
discrete_recoursenet,3328,1,1,"[{""feature"": ""quiz_click"", ""from"": 849.0, ""to"": 5040.0}]","{""num_of_prev_attempts"": 0.0, ""weight"": 100.0, ""weighted_score"": 91.0, ""studied_credits"": 60.0, ""forumng_click"": 304.0, ""homepage_click"": 468.0, ""oucontent_click"": 1325.0, ""resource_click"": 33.0, ""subpage_click"": 278.0, ""url_click"": 52.0, ""dataplus_click"": 23.0, ""glossary_click"": 0.0, ""oucollaborate_click"": 0.0, ""quiz_click"": 849.0, ""ouelluminate_click"": 0.0, ""sharedsubpage_click"": 0.0, ""questionnaire_click"": 24.0, ""page_click"": 11.0, ""externalquiz_click"": 0.0, ""ouwiki_click"": 34.0, ""dualpane_click"": 7.000000476837158, ""folder_click"": 1.0, ""repeatactivity_click"": 0.0, ""htmlactivity_click"": 0.0, ""code_module"": ""FFF"", ""gender"": ""F"", ""region"": ""South West Region"", ""highest_education"": ""Lower Than A Level"", ""imd_band"": ""60-70%"", ""age_band"": ""0-35"", ""disability"": ""N""}","{""num_of_prev_attempts"": 0.0, ""weight"": 100.0, ""weighted_score"": 91.0, ""studied_credits"": 60.0, ""forumng_click"": 304.0, ""homepage_click"": 468.0, ""oucontent_click"": 1325.0, ""resource_click"": 33.0, ""subpage_click"": 278.0, ""url_click"": 52.0, ""dataplus_click"": 23.0, ""glossary_click"": 0.0, ""oucollaborate_click"": 0.0, ""quiz_click"": 5040.0, ""ouelluminate_click"": 0.0, ""sharedsubpage_click"": 0.0, ""questionnaire_click"": 24.0, ""page_click"": 11.0, ""externalquiz_click"": 0.0, ""ouwiki_click"": 34.0, ""dualpane_click"": 7.000000476837158, ""folder_click"": 1.0, ""repeatactivity_click"": 0.0, ""htmlactivity_click"": 0.0, ""code_module"": ""FFF"", ""gender"": ""F"", ""region"": ""South West Region"", ""highest_education"": ""Lower Than A Level"", ""imd_band"": ""60-70%"", ""age_band"": ""0-35"", ""disability"": ""N""}"
discrete_recoursenet,1757,0,1,"[{""feature"": ""quiz_click"", ""from"": 84.0, ""to"": 5625.0}]","{""num_of_prev_attempts"": 0.0, ""weight"": 16.0, ""weighted_score"": 93.0, ""studied_credits"": 60.0, ""forumng_click"": 26.999998092651367, ""homepage_click"": 67.0, ""oucontent_click"": 212.0, ""resource_click"": 3.0, ""subpage_click"": 7.000000476837158, ""url_click"": 12.0, ""dataplus_click"": 0.0, ""glossary_click"": 0.0, ""oucollaborate_click"": 1.0, ""quiz_click"": 84.0, ""ouelluminate_click"": 0.0, ""sharedsubpage_click"": 0.0, ""questionnaire_click"": 0.0, ""page_click"": 0.0, ""externalquiz_click"": 0.0, ""ouwiki_click"": 0.0, ""dualpane_click"": 0.0, ""folder_click"": 0.0, ""repeatactivity_click"": 0.0, ""htmlactivity_click"": 0.0, ""code_module"": ""EEE"", ""gender"": ""M"", ""region"": ""North Western Region"", ""highest_education"": ""HE Qualification"", ""imd_band"": ""0-10%"", ""age_band"": ""0-35"", ""disability"": ""N""}","{""num_of_prev_attempts"": 0.0, ""weight"": 16.0, ""weighted_score"": 93.0, ""studied_credits"": 60.0, ""forumng_click"": 26.999998092651367, ""homepage_click"": 67.0, ""oucontent_click"": 212.0, ""resource_click"": 3.0, ""subpage_click"": 7.000000476837158, ""url_click"": 12.0, ""dataplus_click"": 0.0, ""glossary_click"": 0.0, ""oucollaborate_click"": 1.0, ""quiz_click"": 5625.0, ""ouelluminate_click"": 0.0, ""sharedsubpage_click"": 0.0, ""questionnaire_click"": 0.0, ""page_click"": 0.0, ""externalquiz_click"": 0.0, ""ouwiki_click"": 0.0, ""dualpane_click"": 0.0, ""folder_click"": 0.0, ""repeatactivity_click"": 0.0, ""htmlactivity_click"": 0.0, ""code_module"": ""EEE"", ""gender"": ""M"", ""region"": ""North Western Region"", ""highest_education"": ""HE Qualification"", ""imd_band"": ""0-10%"", ""age_band"": ""0-35"", ""disability"": ""N""}"
discrete_recoursenet,266,1,1,"[{""feature"": ""quiz_click"", ""from"": 109.0, ""to"": 5040.0}]","{""num_of_prev_attempts"": 0.0, ""weight"": 100.0, ""weighted_score"": 80.19000244140625, ""studied_credits"": 120.0, ""forumng_click"": 142.0, ""homepage_click"": 172.0, ""oucontent_click"": 13.0, ""resource_click"": 13.0, ""subpage_click"": 30.0, ""url_click"": 11.0, ""dataplus_click"": 0.0, ""glossary_click"": 0.0, ""oucollaborate_click"": 0.0, ""quiz_click"": 109.0, ""ouelluminate_click"": 0.0, ""sharedsubpage_click"": 0.0, ""questionnaire_click"": 0.0, ""page_click"": 0.0, ""externalquiz_click"": 0.0, ""ouwiki_click"": 0.0, ""dualpane_click"": 0.0, ""folder_click"": 0.0, ""repeatactivity_click"": 0.0, ""htmlactivity_click"": 0.0, ""code_module"": ""BBB"", ""gender"": ""F"", ""region"": ""West Midlands Region"", ""highest_education"": ""A Level or Equivalent"", ""imd_band"": ""0-10%"", ""age_band"": ""0-35"", ""disability"": ""N""}","{""num_of_prev_attempts"": 0.0, ""weight"": 100.0, ""weighted_score"": 80.19000244140625, ""studied_credits"": 120.0, ""forumng_click"": 142.0, ""homepage_click"": 172.0, ""oucontent_click"": 13.0, ""resource_click"": 13.0, ""subpage_click"": 30.0, ""url_click"": 11.0, ""dataplus_click"": 0.0, ""glossary_click"": 0.0, ""oucollaborate_click"": 0.0, ""quiz_click"": 5040.0, ""ouelluminate_click"": 0.0, ""sharedsubpage_click"": 0.0, ""questionnaire_click"": 0.0, ""page_click"": 0.0, ""externalquiz_click"": 0.0, ""ouwiki_click"": 0.0, ""dualpane_click"": 0.0, ""folder_click"": 0.0, ""repeatactivity_click"": 0.0, ""htmlactivity_click"": 0.0, ""code_module"": ""BBB"", ""gender"": ""F"", ""region"": ""West Midlands Region"", ""highest_education"": ""A Level or Equivalent"", ""imd_band"": ""0-10%"", ""age_band"": ""0-35"", ""disability"": ""N""}"
discrete_recoursenet,107,1,1,"[{""feature"": ""quiz_click"", ""from"": 984.0000610351562, ""to"": 5040.0}]","{""num_of_prev_attempts"": 0.0, ""weight"": 100.0, ""weighted_score"": 81.5, ""studied_credits"": 120.0, ""forumng_click"": 764.0, ""homepage_click"": 907.9999389648438, ""oucontent_click"": 2080.0, ""resource_click"": 33.0, ""subpage_click"": 514.0, ""url_click"": 105.0, ""dataplus_click"": 14.000000953674316, ""glossary_click"": 0.0, ""oucollaborate_click"": 0.0, ""quiz_click"": 984.0000610351562, ""ouelluminate_click"": 12.0, ""sharedsubpage_click"": 0.0, ""questionnaire_click"": 26.0, ""page_click"": 30.0, ""externalquiz_click"": 0.0, ""ouwiki_click"": 64.0, ""dualpane_click"": 6.0, ""folder_click"": 0.0, ""repeatactivity_click"": 0.0, ""htmlactivity_click"": 0.0, ""code_module"": ""FFF"", ""gender"": ""M"", ""region"": ""Scotland"", ""highest_education"": ""Lower Than A Level"", ""imd_band"": ""40-50%"", ""age_band"": ""0-35"", ""disability"": ""N""}","{""num_of_prev_attempts"": 0.0, ""weight"": 100.0, ""weighted_score"": 81.5, ""studied_credits"": 120.0, ""forumng_click"": 764.0, ""homepage_click"": 907.9999389648438, ""oucontent_click"": 2080.0, ""resource_click"": 33.0, ""subpage_click"": 514.0, ""url_click"": 105.0, ""dataplus_click"": 14.000000953674316, ""glossary_click"": 0.0, ""oucollaborate_click"": 0.0, ""quiz_click"": 5040.0, ""ouelluminate_click"": 12.0, ""sharedsubpage_click"": 0.0, ""questionnaire_click"": 26.0, ""page_click"": 30.0, ""externalquiz_click"": 0.0, ""ouwiki_click"": 64.0, ""dualpane_click"": 6.0, ""folder_click"": 0.0, ""repeatactivity_click"": 0.0, ""htmlactivity_click"": 0.0, ""code_module"": ""FFF"", ""gender"": ""M"", ""region"": ""Scotland"", ""highest_education"": ""Lower Than A Level"", ""imd_band"": ""40-50%"", ""age_band"": ""0-35"", ""disability"": ""N""}"
discrete_recoursenet,2005,0,1,"[{""feature"": ""quiz_click"", ""from"": 1.0, ""to"": 5625.0}]","{""num_of_prev_attempts"": 1.0, ""weight"": 0.0, ""weighted_score"": 0.0, ""studied_credits"": 60.0, ""forumng_click"": 2.0, ""homepage_click"": 28.000001907348633, ""oucontent_click"": 15.0, ""resource_click"": 5.0, ""subpage_click"": 21.0, ""url_click"": 4.0, ""dataplus_click"": 0.0, ""glossary_click"": 0.0, ""oucollaborate_click"": 0.0, ""quiz_click"": 1.0, ""ouelluminate_click"": 0.0, ""sharedsubpage_click"": 0.0, ""questionnaire_click"": 0.0, ""page_click"": 8.0, ""externalquiz_click"": 0.0, ""ouwiki_click"": 0.0, ""dualpane_click"": 0.0, ""folder_click"": 0.0, ""repeatactivity_click"": 0.0, ""htmlactivity_click"": 0.0, ""code_module"": ""FFF"", ""gender"": ""M"", ""region"": ""London Region"", ""highest_education"": ""A Level or Equivalent"", ""imd_band"": ""20-30%"", ""age_band"": ""0-35"", ""disability"": ""N""}","{""num_of_prev_attempts"": 1.0, ""weight"": 0.0, ""weighted_score"": 0.0, ""studied_credits"": 60.0, ""forumng_click"": 2.0, ""homepage_click"": 28.000001907348633, ""oucontent_click"": 15.0, ""resource_click"": 5.0, ""subpage_click"": 21.0, ""url_click"": 4.0, ""dataplus_click"": 0.0, ""glossary_click"": 0.0, ""oucollaborate_click"": 0.0, ""quiz_click"": 5625.0, ""ouelluminate_click"": 0.0, ""sharedsubpage_click"": 0.0, ""questionnaire_click"": 0.0, ""page_click"": 8.0, ""externalquiz_click"": 0.0, ""ouwiki_click"": 0.0, ""dualpane_click"": 0.0, ""folder_click"": 0.0, ""repeatactivity_click"": 0.0, ""htmlactivity_click"": 0.0, ""code_module"": ""FFF"", ""gender"": ""M"", ""region"": ""London Region"", ""highest_education"": ""A Level or Equivalent"", ""imd_band"": ""20-30%"", ""age_band"": ""0-35"", ""disability"": ""N""}"
discrete_recoursenet,1142,1,1,"[{""feature"": ""quiz_click"", ""from"": 0.0, ""to"": 5040.0}]","{""num_of_prev_attempts"": 0.0, ""weight"": 197.0, ""weighted_score"": 58.35533142089844, ""studied_credits"": 90.0, ""forumng_click"": 197.0, ""homepage_click"": 284.0, ""oucontent_click"": 246.00001525878906, ""resource_click"": 77.0, ""subpage_click"": 102.0, ""url_click"": 8.0, ""dataplus_click"": 0.0, ""glossary_click"": 0.0, ""oucollaborate_click"": 0.0, ""quiz_click"": 0.0, ""ouelluminate_click"": 3.0, ""sharedsubpage_click"": 0.0, ""questionnaire_click"": 0.0, ""page_click"": 0.0, ""externalquiz_click"": 12.0, ""ouwiki_click"": 19.0, ""dualpane_click"": 0.0, ""folder_click"": 0.0, ""repeatactivity_click"": 0.0, ""htmlactivity_click"": 0.0, ""code_module"": ""DDD"", ""gender"": ""F"", ""region"": ""South Region"", ""highest_education"": ""A Level or Equivalent"", ""imd_band"": ""40-50%"", ""age_band"": ""0-35"", ""disability"": ""N""}","{""num_of_prev_attempts"": 0.0, ""weight"": 197.0, ""weighted_score"": 58.35533142089844, ""studied_credits"": 90.0, ""forumng_click"": 197.0, ""homepage_click"": 284.0, ""oucontent_click"": 246.00001525878906, ""resource_click"": 77.0, ""subpage_click"": 102.0, ""url_click"": 8.0, ""dataplus_click"": 0.0, ""glossary_click"": 0.0, ""oucollaborate_click"": 0.0, ""quiz_click"": 5040.0, ""ouelluminate_click"": 3.0, ""sharedsubpage_click"": 0.0, ""questionnaire_click"": 0.0, ""page_click"": 0.0, ""externalquiz_click"": 12.0, ""ouwiki_click"": 19.0, ""dualpane_click"": 0.0, ""folder_click"": 0.0, ""repeatactivity_click"": 0.0, ""htmlactivity_click"": 0.0, ""code_module"": ""DDD"", ""gender"": ""F"", ""region"": ""South Region"", ""highest_education"": ""A Level or Equivalent"", ""imd_band"": ""40-50%"", ""age_band"": ""0-35"", ""disability"": ""N""}"
discrete_recoursenet,490,0,1,"[{""feature"": ""quiz_click"", ""from"": 40.0, ""to"": 5625.0}]","{""num_of_prev_attempts"": 0.0, ""weight"": 12.5, ""weighted_score"": 78.0, ""studied_credits"": 120.0, ""forumng_click"": 41.0, ""homepage_click"": 41.0, ""oucontent_click"": 62.0, ""resource_click"": 8.0, ""subpage_click"": 24.0, ""url_click"": 1.0, ""dataplus_click"": 0.0, ""glossary_click"": 0.0, ""oucollaborate_click"": 1.0, ""quiz_click"": 40.0, ""ouelluminate_click"": 0.0, ""sharedsubpage_click"": 0.0, ""questionnaire_click"": 0.0, ""page_click"": 0.0, ""externalquiz_click"": 0.0, ""ouwiki_click"": 0.0, ""dualpane_click"": 0.0, ""folder_click"": 0.0, ""repeatactivity_click"": 0.0, ""htmlactivity_click"": 4.0, ""code_module"": ""FFF"", ""gender"": ""M"", ""region"": ""East Midlands Region"", ""highest_education"": ""Lower Than A Level"", ""imd_band"": ""90-100%"", ""age_band"": ""0-35"", ""disability"": ""N""}","{""num_of_prev_attempts"": 0.0, ""weight"": 12.5, ""weighted_score"": 78.0, ""studied_credits"": 120.0, ""forumng_click"": 41.0, ""homepage_click"": 41.0, ""oucontent_click"": 62.0, ""resource_click"": 8.0, ""subpage_click"": 24.0, ""url_click"": 1.0, ""dataplus_click"": 0.0, ""glossary_click"": 0.0, ""oucollaborate_click"": 1.0, ""quiz_click"": 5625.0, ""ouelluminate_click"": 0.0, ""sharedsubpage_click"": 0.0, ""questionnaire_click"": 0.0, ""page_click"": 0.0, ""externalquiz_click"": 0.0, ""ouwiki_click"": 0.0, ""dualpane_click"": 0.0, ""folder_click"": 0.0, ""repeatactivity_click"": 0.0, ""htmlactivity_click"": 4.0, ""code_module"": ""FFF"", ""gender"": ""M"", ""region"": ""East Midlands Region"", ""highest_education"": ""Lower Than A Level"", ""imd_band"": ""90-100%"", ""age_band"": ""0-35"", ""disability"": ""N""}"
