model,index,y_hat,cf_y_hat,changes_json,x_json,cf_json
counternet,5532,1,1,"[{""feature"": ""age"", ""from"": 50.0, ""to"": 43.8427619934082}, {""feature"": ""hours_per_week"", ""from"": 40.0, ""to"": 91.75225830078125}, {""feature"": ""education"", ""from"": ""Some-college"", ""to"": ""Prof-school""}, {""feature"": ""occupation"", ""from"": ""Service"", ""to"": ""White-Collar""}]","{""age"": 50.0, ""hours_per_week"": 40.0, ""workclass"": ""Private"", ""education"": ""Some-college"", ""marital_status"": ""Married"", ""occupation"": ""Service"", ""race"": ""White"", ""gender"": ""Male""}","{""age"": 43.8427619934082, ""hours_per_week"": 91.75225830078125, ""workclass"": ""Private"", ""education"": ""Prof-school"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
counternet,5296,0,1,"[{""feature"": ""age"", ""from"": 51.0, ""to"": 64.53636169433594}, {""feature"": ""hours_per_week"", ""from"": 40.0, ""to"": 110.36919403076172}, {""feature"": ""education"", ""from"": ""Assoc"", ""to"": ""Prof-school""}, {""feature"": ""marital_status"", ""from"": ""Separated"", ""to"": ""Married""}, {""feature"": ""occupation"", ""from"": ""Professional"", ""to"": ""White-Collar""}, {""feature"": ""gender"", ""from"": ""Female"", ""to"": ""Male""}]","{""age"": 51.0, ""hours_per_week"": 40.0, ""workclass"": ""Private"", ""education"": ""Assoc"", ""marital_status"": ""Separated"", ""occupation"": ""Professional"", ""race"": ""White"", ""gender"": ""Female""}","{""age"": 64.53636169433594, ""hours_per_week"": 110.36919403076172, ""workclass"": ""Private"", ""education"": ""Prof-school"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
counternet,4143,1,0,"[{""feature"": ""age"", ""from"": 57.000003814697266, ""to"": 17.83839988708496}, {""feature"": ""hours_per_week"", ""from"": 50.0, ""to"": 66.67689514160156}, {""feature"": ""education"", ""from"": ""Some-college"", ""to"": ""School""}, {""feature"": ""marital_status"", ""from"": ""Married"", ""to"": ""Single""}, {""feature"": ""occupation"", ""from"": ""Service"", ""to"": ""White-Collar""}]","{""age"": 57.000003814697266, ""hours_per_week"": 50.0, ""workclass"": ""Private"", ""education"": ""Some-college"", ""marital_status"": ""Married"", ""occupation"": ""Service"", ""race"": ""White"", ""gender"": ""Male""}","{""age"": 17.83839988708496, ""hours_per_week"": 66.67689514160156, ""workclass"": ""Private"", ""education"": ""School"", ""marital_status"": ""Single"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
counternet,3325,0,1,"[{""feature"": ""age"", ""from"": 23.0, ""to"": 65.32331085205078}, {""feature"": ""hours_per_week"", ""from"": 40.0, ""to"": 117.64990997314453}, {""feature"": ""education"", ""from"": ""Assoc"", ""to"": ""Prof-school""}, {""feature"": ""marital_status"", ""from"": ""Single"", ""to"": ""Married""}, {""feature"": ""occupation"", ""from"": ""Blue-Collar"", ""to"": ""White-Collar""}, {""feature"": ""race"", ""from"": ""Other"", ""to"": ""White""}]","{""age"": 23.0, ""hours_per_week"": 40.0, ""workclass"": ""Private"", ""education"": ""Assoc"", ""marital_status"": ""Single"", ""occupation"": ""Blue-Collar"", ""race"": ""Other"", ""gender"": ""Male""}","{""age"": 65.32331085205078, ""hours_per_week"": 117.64990997314453, ""workclass"": ""Private"", ""education"": ""Prof-school"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
counternet,1755,0,1,"[{""feature"": ""age"", ""from"": 22.0, ""to"": 66.54944610595703}, {""feature"": ""hours_per_week"", ""from"": 20.0, ""to"": 120.11555480957031}, {""feature"": ""education"", ""from"": ""Some-college"", ""to"": ""Prof-school""}, {""feature"": ""marital_status"", ""from"": ""Single"", ""to"": ""Married""}, {""feature"": ""occupation"", ""from"": ""Sales"", ""to"": ""White-Collar""}, {""feature"": ""race"", ""from"": ""Other"", ""to"": ""White""}]","{""age"": 22.0, ""hours_per_week"": 20.0, ""workclass"": ""Private"", ""education"": ""Some-college"", ""marital_status"": ""Single"", ""occupation"": ""Sales"", ""race"": ""Other"", ""gender"": ""Male""}","{""age"": 66.54944610595703, ""hours_per_week"": 120.11555480957031, ""workclass"": ""Private"", ""education"": ""Prof-school"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
counternet,266,0,1,"[{""feature"": ""age"", ""from"": 37.0, ""to"": 64.11990356445312}, {""feature"": ""hours_per_week"", ""from"": 50.0, ""to"": 113.61507415771484}, {""feature"": ""education"", ""from"": ""HS-grad"", ""to"": ""Prof-school""}, {""feature"": ""marital_status"", ""from"": ""Separated"", ""to"": ""Married""}, {""feature"": ""occupation"", ""from"": ""Blue-Collar"", ""to"": ""White-Collar""}]","{""age"": 37.0, ""hours_per_week"": 50.0, ""workclass"": ""Private"", ""education"": ""HS-grad"", ""marital_status"": ""Separated"", ""occupation"": ""Blue-Collar"", ""race"": ""White"", ""gender"": ""Male""}","{""age"": 64.11990356445312, ""hours_per_week"": 113.61507415771484, ""workclass"": ""Private"", ""education"": ""Prof-school"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
counternet,107,1,0,"[{""feature"": ""age"", ""from"": 32.0, ""to"": 2.706442356109619}, {""feature"": ""hours_per_week"", ""from"": 50.0, ""to"": 29.825180053710938}, {""feature"": ""education"", ""from"": ""Bachelors"", ""to"": ""School""}, {""feature"": ""marital_status"", ""from"": ""Married"", ""to"": ""Divorced""}]","{""age"": 32.0, ""hours_per_week"": 50.0, ""workclass"": ""Private"", ""education"": ""Bachelors"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}","{""age"": 2.706442356109619, ""hours_per_week"": 29.825180053710938, ""workclass"": ""Private"", ""education"": ""School"", ""marital_status"": ""Divorced"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
counternet,2003,0,1,"[{""feature"": ""age"", ""from"": 23.0, ""to"": 66.10203552246094}, {""feature"": ""hours_per_week"", ""from"": 25.0, ""to"": 119.39073181152344}, {""feature"": ""education"", ""from"": ""Some-college"", ""to"": ""Prof-school""}, {""feature"": ""marital_status"", ""from"": ""Single"", ""to"": ""Married""}, {""feature"": ""occupation"", ""from"": ""Service"", ""to"": ""White-Collar""}]","{""age"": 23.0, ""hours_per_week"": 25.0, ""workclass"": ""Private"", ""education"": ""Some-college"", ""marital_status"": ""Single"", ""occupation"": ""Service"", ""race"": ""White"", ""gender"": ""Male""}","{""age"": 66.10203552246094, ""hours_per_week"": 119.39073181152344, ""workclass"": ""Private"", ""education"": ""Prof-school"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
counternet,1141,0,1,"[{""feature"": ""age"", ""from"": 58.000003814697266, ""to"": 63.96873092651367}, {""feature"": ""hours_per_week"", ""from"": 45.0, ""to"": 114.66676330566406}, {""feature"": ""education"", ""from"": ""School"", ""to"": ""Prof-school""}, {""feature"": ""marital_status"", ""from"": ""Widowed"", ""to"": ""Married""}, {""feature"": ""occupation"", ""from"": ""Blue-Collar"", ""to"": ""White-Collar""}, {""feature"": ""gender"", ""from"": ""Female"", ""to"": ""Male""}]","{""age"": 58.000003814697266, ""hours_per_week"": 45.0, ""workclass"": ""Private"", ""education"": ""School"", ""marital_status"": ""Widowed"", ""occupation"": ""Blue-Collar"", ""race"": ""White"", ""gender"": ""Female""}","{""age"": 63.96873092651367, ""hours_per_week"": 114.66676330566406, ""workclass"": ""Private"", ""education"": ""Prof-school"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
counternet,489,1,0,"[{""feature"": ""age"", ""from"": 53.0, ""to"": 2.6046175956726074}, {""feature"": ""hours_per_week"", ""from"": 48.0, ""to"": 29.425912857055664}, {""feature"": ""workclass"", ""from"": ""Government"", ""to"": ""Private""}, {""feature"": ""education"", ""from"": ""Bachelors"", ""to"": ""School""}, {""feature"": ""marital_status"", ""from"": ""Married"", ""to"": ""Divorced""}]","{""age"": 53.0, ""hours_per_week"": 48.0, ""workclass"": ""Government"", ""education"": ""Bachelors"", ""marital_status"": ""Married"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}","{""age"": 2.6046175956726074, ""hours_per_week"": 29.425912857055664, ""workclass"": ""Private"", ""education"": ""School"", ""marital_status"": ""Divorced"", ""occupation"": ""White-Collar"", ""race"": ""White"", ""gender"": ""Male""}"
