,feature,features,type,mutable,n_samples,changed_count,change_rate,monotonicity_violation_rate,immutability_violation_rate,rule_kind,rule_check_supported,rule_violation_rate,valid_change_rate_given_change,monotonicity_violation_rate_given_change,immutability_violation_rate_given_change,rule_violation_rate_given_change
Reduce_More_Severe_Delinquencies,NumTrades60Ever2DerogPubRec,"['NumTrades60Ever2DerogPubRec', 'NumTrades90Ever2DerogPubRec']",1,True,892,892,1.0,1.0,0.0,clip_derived_to_base,True,1.0,0.0,1.0,0.0,1.0
Pay_Down_Revolving_Debt,NetFractionRevolvingBurden,"['NetFractionRevolvingBurden', 'NumBank2NatlTradesWHighUtilization']",3,True,892,892,1.0,0.1647982062780269,0.0,latent_shift,True,1.0,0.0,0.1647982062780269,0.0,1.0
Stop_New_Credit_Applications,NumInqLast6M,"['NumInqLast6M', 'NumInqLast6Mexcl7days']",1,True,892,892,1.0,0.0,0.0,clip_derived_to_base,True,1.0,0.0,0.0,0.0,1.0
Build_Satisfactory_Credit_History,NumSatisfactoryTrades,"['NumSatisfactoryTrades', 'NumTotalTrades']",1,True,892,892,1.0,0.006726457399103139,0.0,derived_adds_base_delta,True,0.3721973094170404,0.6278026905829597,0.006726457399103139,0.0,0.3721973094170404
NumTradesOpeninLast12M,NumTradesOpeninLast12M,['NumTradesOpeninLast12M'],0,True,892,892,1.0,1.0,0.0,,False,0.0,0.0,1.0,0.0,0.0
NumInstallTradesWBalance,NumInstallTradesWBalance,['NumInstallTradesWBalance'],0,True,892,892,1.0,0.9316143497757847,0.0,,False,0.0,0.0,0.9316143497757847,0.0,0.0
NetFractionInstallBurden,NetFractionInstallBurden,['NetFractionInstallBurden'],0,True,892,892,1.0,0.718609865470852,0.0,,False,0.0,0.005605381165919282,0.718609865470852,0.0,0.0
PercentTradesWBalance,PercentTradesWBalance,['PercentTradesWBalance'],0,True,892,892,1.0,0.4428251121076233,0.0,,False,0.0,0.5504484304932735,0.4428251121076233,0.0,0.0
MSinceMostRecentDelq,MSinceMostRecentDelq,['MSinceMostRecentDelq'],0,True,892,892,1.0,0.41143497757847536,0.0,,False,0.0,0.2982062780269058,0.41143497757847536,0.0,0.0
ExternalRiskEstimate,ExternalRiskEstimate,['ExternalRiskEstimate'],0,False,892,892,1.0,0.0,1.0,,False,0.0,0.0,0.0,1.0,0.0
MSinceOldestTradeOpen,MSinceOldestTradeOpen,['MSinceOldestTradeOpen'],0,False,892,892,1.0,0.0,1.0,,False,0.0,0.0,0.0,1.0,0.0
AverageMInFile,AverageMInFile,['AverageMInFile'],0,True,892,892,1.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
MSinceMostRecentInqexcl7days,MSinceMostRecentInqexcl7days,['MSinceMostRecentInqexcl7days'],0,True,892,892,1.0,0.0,0.0,,False,0.0,0.7331838565022422,0.0,0.0,0.0
MSinceMostRecentTradeOpen,MSinceMostRecentTradeOpen,['MSinceMostRecentTradeOpen'],0,True,892,892,1.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
NumRevolvingTradesWBalance,NumRevolvingTradesWBalance,['NumRevolvingTradesWBalance'],0,True,892,892,1.0,0.0,0.0,,False,0.0,0.9719730941704036,0.0,0.0,0.0
PercentInstallTrades,PercentInstallTrades,['PercentInstallTrades'],0,True,892,892,1.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
PercentTradesNeverDelq,PercentTradesNeverDelq,['PercentTradesNeverDelq'],0,True,892,892,1.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
MaxDelq2PublicRecLast12M,MaxDelq2PublicRecLast12M,['MaxDelq2PublicRecLast12M'],0,True,892,576,0.6457399103139013,0.0,0.0,,False,0.0,0.11284722222222222,0.0,0.0,0.0
MaxDelqEver,MaxDelqEver,['MaxDelqEver'],0,True,892,560,0.6278026905829597,0.0,0.0,,False,0.0,0.9857142857142858,0.0,0.0,0.0
